,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
101675,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-09-26,67977,10566,20167,    -191,    1396,     -45
101676,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-09-19,68168,9170,20212,    -776,    1289,    2937
101677,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-09-12,68944,7881,17275,    -303,   -1495,    -824
101678,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-09-05,69247,9376,18099,     -64,    1220,   -1237
101679,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-08-29,69311,8156,19336,   -2746,     -55,    1407
101680,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-08-22,72057,8211,17929,   -2220,   -1113,     581
101681,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-08-15,74277,9324,17348,    1892,     -63,    1367
101682,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-08-08,72385,9387,15981,     848,     744,    1031
101683,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-08-01,71537,8643,14950,   -1811,     172,     785
101684,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-07-25,73348,8471,14165,   -2984,   -2377,     -32
101685,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-07-18,76332,10848,14197,    1578,     234,    1369
101686,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-07-11,74754,10614,12828,    1874,    2154,    1929
101687,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-07-03,72880,8460,10899,    -443,     263,   -1008
101688,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-06-27,73323,8197,11907,   -2988,    -250,     208
101689,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-06-20,76311,8447,11699,   -2347,      67,   -2337
101690,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-06-13,78658,8380,14036,    1789,    -395,   -2041
101691,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-06-06,76869,8775,16077,   -2672,   -1581,    -651
101692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-05-30,79541,10356,16728,   -1822,    -548,    -687
101693,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-05-23,81363,10904,17415,   -4012,   -1990,    2039
101694,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-05-16,85375,12894,15376,   -1059,   -1498,      69
101695,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-05-09,86434,14392,15307,    1082,    -662,   -1751
101696,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-05-02,85352,15054,17058,  -10984,   -1478,   -2103
101697,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-04-25,96336,16532,19161,   -3598,   -3693,   -2628
101698,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-04-18,99934,20225,21789,    2229,   -1909,   -1773
101699,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-04-11,97705,22134,23562,   -2544,   -1436,    -396
101700,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-04-04,100249,23570,23958,    2763,    1049,    2979
101701,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-03-28,97486,22521,20979,     336,     243,    1711
101702,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-03-21,97150,22278,19268,    5678,    2236,     -63
101703,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-03-14,91472,20042,19331,    5861,    1650,   -1768
101704,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-03-07,85611,18392,21099,     255,    -192,   -2044
101705,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-02-28,85356,18584,23143,   -4598,   -4658,   -2529
101706,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-02-21,89954,23242,25672,   -2763,   -5411,   -2378
101707,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-02-14,92717,28653,28050,   -6332,   -4668,   -1519
101708,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-02-07,99049,33321,29569,   -2245,     740,   -1839
101709,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-01-31,101294,32581,31408,   -1286,    -761,     812
101710,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-01-24,102580,33342,30596,    1878,    1156,     666
101711,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-01-17,100702,32186,29930,   -1280,    -704,   -1850
101712,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-01-10,101982,32890,31780,   -1484,    -192,    1402
101713,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-01-03,103466,33082,30378,     347,     678,     735
101714,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2005-12-27,103119,32404,29643,    1121,    1536,     996
101715,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2005-12-20,101998,30868,28647,   -2893,   -2022,     416
101716,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2005-12-13,104891,32890,28231,    -855,    -316,     384
