,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
101542,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-04-14,106758,17874,36735,    4426,    -702,     761
101543,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-04-07,102332,18576,35974,    5760,    3059,    1932
101544,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-03-31,96572,15517,34042,     587,    -541,    -431
101545,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-03-24,95985,16058,34473,    3075,     331,    -101
101546,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-03-17,92910,15727,34574,    5944,    3330,    2101
101547,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-03-10,86966,12397,32473,    6027,    5094,     273
101548,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-03-03,80939,7303,32200,   -3964,    -158,   -2755
101549,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-02-24,84903,7461,34955,   -4502,    -204,    -137
101550,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-02-17,89405,7665,35092,    5471,   -1209,    1573
101551,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-02-10,83934,8874,33519,   -3365,    1522,     929
101552,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-02-03,87299,7352,32590,    3186,     760,     468
101553,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-01-27,84113,6592,32122,     496,    -417,    -196
101554,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-01-20,83617,7009,32318,    1621,    -182,    2021
101555,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-01-13,81996,7191,30297,    5640,   -1861,    1556
101556,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2009-01-06,76356,9052,28741,    2104,   -1018,    -774
101557,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-12-30,74252,10070,29515,      40,     388,     765
101558,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-12-22,74212,9682,28750,    2435,     151,     978
101559,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-12-16,71777,9531,27772,    2744,    1401,    2425
101560,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-12-09,69033,8130,25347,    -996,    -523,   -1028
101561,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-12-02,70029,8653,26375,   -2343,     780,    2405
101562,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-11-25,72372,7873,23970,   -8211,    -200,    -347
101563,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-11-18,80583,8073,24317,    3435,    1746,    2581
101564,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-11-11,77148,6327,21736,    -828,     422,    -327
101565,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-11-04,77976,5905,22063,   -1309,    -758,    -483
101566,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-10-28,79285,6663,22546,   -4318,     404,   -1292
101567,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-10-21,83603,6259,23838,    2933,     378,    -170
101568,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-10-14,80670,5881,24008,     646,     238,    -434
101569,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-10-07,80024,5643,24442,    1810,    -173,    2457
101570,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-09-30,78214,5816,21985,    3725,   -3928,    2342
101571,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-09-23,74489,9744,19643,   -2209,     990,   -1508
101572,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-09-16,76698,8754,21151,    -100,    1661,     639
101573,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-09-09,76798,7093,20512,    -941,    -627,     723
101574,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-09-02,77739,7720,19789,  -10160,   -1220,    -203
101575,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-08-26,87899,8940,19992,   -7001,   -1509,     416
101576,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-08-19,94900,10449,19576,   -5471,   -2588,    1097
101577,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-08-12,100371,13037,18479,   -9834,   -2943,   -1820
101578,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-08-05,110205,15980,20299,    1971,   -2082,      -5
101579,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-07-29,108234,18062,20304,   -2665,   -2362,     873
101580,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-07-22,110899,20424,19431,    5272,    -577,    1449
101581,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-07-15,105627,21001,17982,   -4591,   -4342,    -823
101582,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-07-08,110218,25343,18805,   -1149,    -742,     158
101583,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-07-01,111367,26085,18647,    1871,     848,      28
101584,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-06-24,109496,25237,18619,    7008,    2088,   -1341
101585,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-06-17,102488,23149,19960,    6259,    2535,    -470
101586,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-06-10,96229,20614,20430,   -1752,    -162,   -1233
101587,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-06-03,97981,20776,21663,    -460,   -1429,    3119
101588,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-05-27,98441,22205,18544,   -2576,   -2427,   -1048
101589,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-05-20,101017,24632,19592,    3218,     459,    -393
101590,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-05-13,97799,24173,19985,   -1635,   -3660,    -654
101591,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-05-06,99434,27833,20639,   -4772,   -1290,   -1920
101592,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-04-29,104206,29123,22559,   -3448,   -1580,     869
101593,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-04-22,107654,30703,21690,    2584,      60,     330
101594,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-04-15,105070,30643,21360,    2545,    2620,    2178
101595,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-04-08,102525,28023,19182,     665,    2413,    3153
101596,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-04-01,101860,25610,16029,    4537,    2537,     511
101597,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-03-25,97323,23073,15518,   -4630,   -4158,   -4370
101598,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-03-18,101953,27231,19888,   -1154,   -1911,     746
101599,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-03-11,103107,29142,19142,    1240,    1755,     851
101600,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-03-04,101867,27387,18291,      -5,    2604,    -911
101601,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-02-26,101872,24783,19202,    8211,    3447,    1418
101602,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-02-19,93661,21336,17784,    5351,    2919,     -79
101603,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-02-12,88310,18417,17863,   -2065,    6865,    -918
101604,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-02-05,90375,11552,18781,     669,     864,   -1243
101605,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-01-29,89706,10688,20024,    3324,    -619,    -331
101606,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-01-22,86382,11307,20355,    2533,     583,     816
101607,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-01-15,83849,10724,19539,    8243,    1342,    3960
101608,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2008-01-08,75606,9382,15579,    3464,      73,   -1000
101609,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-12-31,72142,9309,16579,     375,     805,      12
101610,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-12-24,71767,8504,16567,   -1252,    -198,   -1179
101611,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-12-18,73019,8702,17746,    2146,      29,    1081
101612,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-12-11,70873,8673,16665,      34,     216,    -147
101613,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-12-04,70839,8457,16812,   -3066,   -1123,    -688
101614,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-11-27,73905,9580,17500,   -3932,   -1816,    -497
101615,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-11-20,77837,11396,17997,    -628,    -767,    -568
101616,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-11-13,78465,12163,18565,   -4852,   -3393,    -115
101617,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-11-06,83317,15556,18680,   -2696,   -1847,   -1380
101618,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-10-30,86013,17403,20060,    -845,   -2203,     -70
101619,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-10-23,86858,19606,20130,   -3290,   -3284,    -791
101620,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-10-16,90148,22890,20921,    3243,    -432,    1638
101621,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-10-09,86905,23322,19283,    3850,    2535,     -24
101622,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-10-02,83055,20787,19307,    5527,    3313,    1911
101623,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-09-25,77528,17474,17396,    5971,    3039,     533
101624,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-09-18,71557,14435,16863,    2873,    1917,     226
101625,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-09-11,68684,12518,16637,    -472,    1040,       3
101626,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-09-04,69156,11478,16634,   -3927,     207,   -1174
101627,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-08-28,73083,11271,17808,   -3415,   -1042,   -1572
101628,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-08-21,76498,12313,19380,     387,   -1657,    -528
101629,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-08-14,76111,13970,19908,   -8540,   -4493,   -4109
101630,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-08-07,84651,18463,24017,   -4744,   -1081,    -942
101631,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-07-31,89395,19544,24959,   -5101,   -2449,       1
101632,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-07-24,94496,21993,24958,    4603,    1354,     552
101633,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-07-17,89893,20639,24406,    2355,      -9,    -151
101634,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-07-10,87538,20648,24557,    5686,    5288,     847
101635,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-07-03,81852,15360,23710,    2436,    1886,    1313
101636,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-06-26,79416,13474,22397,    1079,    -420,     141
101637,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-06-19,78337,13894,22256,    1375,     672,      52
101638,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-06-12,76962,13222,22204,   -4264,     482,    -119
101639,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-06-05,81226,12740,22323,    1325,     647,   -1301
101640,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-05-29,79901,12093,23624,    -479,    -562,    -148
101641,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-05-22,80380,12655,23772,   -1465,   -2662,    -596
101642,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-05-15,81845,15317,24368,     232,    -583,     403
101643,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-05-08,81613,15900,23965,    -251,     821,     556
101644,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-05-01,81864,15079,23409,    1726,    1156,    1003
101645,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-04-24,80138,13923,22406,    -519,     136,    -166
101646,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-04-17,80657,13787,22572,     472,    1454,     215
101647,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-04-10,80185,12333,22357,    2999,    2406,    -461
101648,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-04-03,77186,9927,22818,    2470,    1247,   -1652
101649,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-03-27,74716,8680,24470,    3413,     919,    1631
101650,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-03-20,71303,7761,22839,    6147,    3119,     -68
101651,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-03-13,65156,4642,22907,    -339,    -565,   -1579
101652,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-03-06,65495,5207,24486,    -368,     -94,     333
101653,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-02-27,65863,5301,24153,   -5457,     145,   -1714
101654,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-02-20,71320,5156,25867,     517,    -554,    -519
101655,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-02-13,70803,5710,26386,   -1232,     261,    -961
101656,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-02-06,72035,5449,27347,     587,     -96,     218
101657,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-01-30,71448,5545,27129,     725,     355,     568
101658,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-01-23,70723,5190,26561,    1790,    -168,     576
101659,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-01-16,68933,5358,25985,    -946,    -977,     395
101660,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-01-09,69879,6335,25590,    -374,     488,    -251
101661,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2007-01-03,70253,5847,25841,    2903,    -660,    -873
101662,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-12-26,67350,6507,26714,   -1570,   -1916,    -680
101663,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-12-19,68920,8423,27394,    1009,   -1016,     429
101664,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-12-12,67911,9439,26965,    -882,    -111,     333
101665,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-12-05,68793,9550,26632,   -1515,    -309,    -863
101666,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-11-28,70308,9859,27495,   -2910,     729,     263
101667,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-11-21,73218,9130,27232,    -463,    -883,     209
101668,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-11-14,73681,10013,27023,    1310,   -1430,    1940
101669,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-11-07,72371,11443,25083,   -2052,    -305,    2392
101670,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-10-31,74423,11748,22691,    -898,    -687,     508
101671,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-10-24,75321,12435,22183,    2608,    -633,     191
101672,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-10-17,72713,13068,21992,    3698,    2506,   -1857
101673,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-10-10,69015,10562,23849,    -385,       8,    1002
101674,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2006-10-03,69400,10554,22847,    1423,     -12,    2680
