,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
127844,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-07-23,79243,27902,4323,    5910,    5542,    -243
127845,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-07-16,73333,22360,4566,    9329,    4439,     103
127846,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-07-09,64004,17921,4463,    2500,    1684,    -947
127847,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-07-02,61504,16237,5409,    1475,     109,     -70
127848,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-06-25,60029,16128,5479,  -45038,   -7505,    1662
128035,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2013-06-18,13627,869,1471,.,.,.
127849,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-06-18,105066,23633,3818,   27217,    2271,    1769
127850,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-06-11,77849,21362,2049,   -8158,   -7885,     245
127851,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-06-04,86007,29246,1804,   -1207,   -2770,    -438
127852,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-05-28,87214,32016,2242,    3549,    3549,    -477
127853,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-05-21,83665,28468,2720,     970,   -1553,   -1007
127854,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-05-14,82695,30020,3727,     880,    -309,    -145
127855,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-05-07,81815,30329,3872,    3690,    1301,     944
127856,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-04-30,78125,29028,2928,    7393,    8007,   -1716
127857,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-04-23,70732,21021,4643,   -2980,   -3988,    1279
