,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
415,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-02-14,127869,79313,55095,   13764,   12768,    5298
416,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-02-07,114105,66545,49797,   12685,    7358,    2666
417,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-01-31,101420,59187,47131,    7041,    4635,    2873
418,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-01-24,94379,54552,44258,    6748,   12151,    6702
419,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-01-17,87631,42401,37556,   -9254,    1619,   -7074
420,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-01-10,96885,40782,44630,   -7124,   -7166,   -6574
421,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-01-03,104009,47948,51204,    9558,    3872,    5618
422,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-12-27,94451,44076,45586,   17535,    5755,   11206
423,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-12-20,76916,38321,34380,  -10854,   -1969,    7563
424,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-12-13,87770,40290,26817,    2870,   -7984,    -586
425,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-12-06,84900,48274,27403,   -7799,   -6517,   -6431
426,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-11-29,92699,54791,33834,   -8290,   -8697,    1051
427,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-11-22,100989,63488,32783,  -12135,  -14326,   -3513
428,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-11-15,113124,77814,36296,  -24436,  -14689,  -15099
429,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-11-08,137560,92503,51395,   12173,    6962,    6721
430,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-11-01,125387,85541,44674,     803,    2388,   -6556
431,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-10-25,124584,83153,51230,    2148,    2627,     684
432,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-10-18,122436,80526,50546,   10408,    7131,    3255
433,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-10-11,112028,73395,47291,    2000,    -150,   -2316
434,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-10-04,110028,73545,49607,   11677,   10653,    1723
435,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-09-27,98351,62892,47884,   11737,   14349,    6189
436,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-09-20,86614,48543,41695,  -25753,  -14591,   15028
437,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-09-13,112367,63134,26667,    3515,   -3077,    -585
438,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-09-06,108852,66211,27252,   -1188,   -4221,    -614
439,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-08-30,110040,70432,27866,   -4412,    -579,    -388
440,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-08-23,114452,71011,28254,    2317,    2066,     422
441,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-08-16,112135,68945,27832,   10076,    9359,    3130
442,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-08-09,102059,59586,24702,    2947,    1317,   -2204
443,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-08-02,99112,58269,26906,    3592,    1186,    1333
444,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-07-26,95520,57083,25573,   -3998,   -4559,   -2638
445,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-07-19,99518,61642,28211,    9775,   15704,   -1511
446,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-07-12,89743,45938,29722,   16754,   12144,     831
447,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-07-05,72989,33794,28891,    2713,    1238,   -5617
448,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-06-28,70276,32556,34508,   -8649,   -6055,  -11146
449,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-06-21,78925,38611,45654,    -210,    -901,    -636
450,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-06-14,79135,39512,46290,  -40241,    4106,   -4924
451,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-06-07,119376,35406,51214,    4729,   -9154,    1896
452,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-05-31,114647,44560,49318,      14,   -7152,   -2270
453,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-05-24,114633,51712,51588,     514,  -20081,    4688
454,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-05-17,114119,71793,46900,  -12649,  -10981,    2284
455,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-05-10,126768,82774,44616,  -15927,  -16250,   -2013
456,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-05-03,142695,99024,46629,  -13008,  -10908,   -3763
457,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-04-26,155703,109932,50392,   12781,   12460,   -2974
458,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-04-19,142922,97472,53366,   10301,    6704,   -2280
459,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-04-12,132621,90768,55646,   11561,   12534,    4257
460,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-04-05,121060,78234,51389,    1395,    1158,   -2221
461,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-03-29,119665,77076,53610,    7988,    9145,    3709
462,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-03-22,111677,67931,49901,   11685,    6387,    1139
463,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-03-15,99992,61544,48762,  -41853,  -24597,   -8184
464,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-03-08,141845,86141,56946,   18934,    9661,   -2673
465,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-03-01,122911,76480,59619,    3385,    3957,   -3329
466,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-02-23,119526,72523,62948,    8079,    5783,    -985
467,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-02-16,111447,66740,63933,   -1907,    2720,   -5713
468,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-02-09,113354,64020,69646,   -8702,   12623,   -7919
469,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-02-02,122056,51397,77565,   -3395,    5116,   -1514
470,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-01-26,125451,46281,79079,   -7363,     810,   -2659
471,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-01-19,132814,45471,81738,   11224,   -3057,   10167
472,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-01-12,121590,48528,71571,   22589,    2481,   11763
473,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2016-01-05,99001,46047,59808,     827,    1281,   -2503
474,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-12-29,98174,44766,62311,   -8127,   -4356,   -7665
475,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-12-22,106301,49122,69976,   -4237,  -12834,   -2432
476,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-12-15,110538,61956,72408,  -51601,   14260,   -8867
477,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-12-08,162139,47696,81275,    7339,    -367,  -13436
478,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-12-01,154800,48063,94711,    2215,    2026,   -8471
479,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-11-24,152585,46037,103182,   -9498,    1104,   -8215
480,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-11-17,162083,44933,111397,    8493,    -960,   12674
481,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-11-10,153590,45893,98723,    7729,   -3963,   10242
482,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-11-03,145861,49856,88481,    4853,    5021,    7294
483,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-10-27,141008,44835,81187,     641,    1540,    -520
484,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-10-20,140367,43295,81707,   -1657,    1029,    5736
485,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-10-13,142024,42266,75971,    2089,     674,   -6460
486,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-10-06,139935,41592,82431,   -2934,   -2968,  -10994
487,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-09-29,142869,44560,93425,   -4410,    1894,   -2073
488,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-09-22,147279,42666,95498,   -9600,  -16451,   -4348
489,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-09-15,156879,59117,99846,  -33882,    9045,   -3542
490,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-09-08,190761,50072,103388,   16814,    -856,   -3272
491,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-09-01,173947,50928,106660,    -431,    3653,   -4342
492,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-08-25,174378,47275,111002,   13034,    -269,   13575
493,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-08-18,161344,47544,97427,   -3407,    -473,   -1860
494,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-08-11,164751,48017,99287,   -3653,   -1384,     474
495,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-08-04,168404,49401,98813,    2430,    2846,    1599
496,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-07-28,165974,46555,97214,    6178,   -5775,    4034
497,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-07-21,159796,52330,93180,   11390,   -2606,    4703
498,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-07-14,148406,54936,88477,   12758,    -135,   11209
499,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-07-07,135648,55071,77268,   17205,     162,   10328
500,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-06-30,118443,54909,66940,    2259,   -1190,    1789
501,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-06-23,116184,56099,65151,   -3178,   -9322,   -4318
502,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-06-16,119362,65421,69469,  -46319,     226,   -9753
503,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-06-09,165681,65195,79222,    9207,    1809,    2580
504,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-06-02,156474,63386,76642,   11979,   -1859,   17819
505,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-05-26,144495,65245,58823,    1906,     115,    1016
506,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-05-19,142589,65130,57807,    6340,    5695,    2859
507,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-05-12,136249,59435,54948,    -752,     402,   -3459
508,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-05-05,137001,59033,58407,   -3297,    5280,  -22751
509,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-04-28,140298,53753,81158,  -13065,   -1817,   -9075
510,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-04-21,153363,55570,90233,   -8608,     493,   -7277
511,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-04-14,161971,55077,97510,    2439,    -851,    1301
512,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-04-07,159532,55928,96209,   21272,     114,   16039
513,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-03-31,138260,55814,80170,    2567,    3735,    -277
514,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-03-24,135693,52079,80447,  -17053,  -10967,  -11406
515,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-03-17,152746,63046,91853,  -43788,   47909,    -135
516,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-03-10,196534,15137,91988,   59693,    1485,   16791
517,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-03-03,136841,13652,75197,   -2964,   -1945,   -3554
518,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-02-24,139805,15597,78751,    8083,   -1633,    7690
519,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-02-17,131722,17230,71061,    6363,    4713,    5362
520,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-02-10,125359,12517,65699,   -7716,   -3452,   -6429
521,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-02-03,133075,15969,72128,    7455,    -110,    7106
522,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-01-27,125620,16079,65022,   14716,    6251,    8614
523,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-01-20,110904,9828,56408,   -8915,   -4950,   -3735
524,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-01-13,119819,14778,60143,   -2386,   -2203,   -5490
525,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2015-01-06,122205,16981,65633,    1889,   -7665,     290
526,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-12-30,120316,24646,65343,    1543,   -1534,     -73
527,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-12-23,118773,26180,65416,    1986,    -606,    4377
528,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-12-16,116787,26786,61039,  -42500,    9408,   -1352
529,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-12-09,159287,17378,62391,   25612,    3813,    7716
530,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-12-02,133675,13565,54675,    6667,    1515,   -1463
531,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-11-25,127008,12050,56138,    9149,    2528,    9014
532,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-11-18,117859,9522,47124,   -5867,   -3374,   -3799
533,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-11-11,123726,12896,50923,     384,   -1699,   -1940
534,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-11-04,123342,14595,52863,    3271,   -2851,    1566
535,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-10-28,120071,17446,51297,    4086,    3495,    5837
536,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-10-21,115985,13951,45460,      44,    -416,     822
537,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-10-14,115941,14367,44638,  -13620,  -17234,  -13449
538,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-10-07,129561,31601,58087,   11073,  -11592,   12877
539,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-09-30,118488,43193,45210,   12732,   -3994,    6370
540,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-09-23,105756,47187,38840,    7917,   -8401,    5392
541,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-09-16,97839,55588,33448,  -28992,  -17733,    1356
542,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-09-09,126831,73321,32092,   12685,   -3729,    4089
543,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-09-02,114146,77050,28003,    6327,    5392,   -1717
544,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-08-26,107819,71658,29720,    4387,    5911,     547
545,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-08-19,103432,65747,29173,    9402,   11056,    4028
546,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-08-12,94030,54691,25145,   -4166,   -6169,   -2415
547,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-08-05,98196,60860,27560,   -8640,   -8488,   -2182
548,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-07-29,106836,69348,29742,   -2505,   -2822,   -3635
549,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-07-22,109341,72170,33377,    4132,    1289,    2239
550,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-07-15,105209,70881,31138,    3349,    4176,    1036
551,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-07-08,101860,66705,30102,  -13058,   -9893,   -7617
552,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-07-01,114918,76598,37719,   12920,   10986,    5570
553,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-06-24,101998,65612,32149,    2598,    4534,   -1900
554,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-06-17,99400,61078,34049,  -29584,   -1063,     155
555,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-06-10,128984,62141,33894,   18073,    5330,   -1390
556,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-06-03,110911,56811,35284,    1772,    4740,    -939
557,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-05-27,109139,52071,36223,    1526,    1941,    5555
558,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-05-20,107613,50130,30668,     311,     -17,   -2352
559,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-05-13,107302,50147,33020,    2366,    5342,   -3148
560,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-05-06,104936,44805,36168,   -4998,   -5214,   -3145
561,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-04-29,109934,50019,39313,    2238,     479,    6143
562,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-04-22,107696,49540,33170,    8763,    9077,     804
563,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-04-15,98933,40463,32366,    2046,    2833,   -1954
564,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-04-08,96887,37630,34320,    2888,    2232,   -5958
565,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-04-01,93999,35398,40278,    9767,   11011,   -4636
566,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-03-25,84232,24387,44914,    2495,    2810,   -1126
567,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-03-18,81737,21577,46040,  -40504,   12950,   -3437
568,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-03-11,122241,8627,49477,   16449,   -3635,   -3893
569,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-03-04,105792,12262,53370,    7149,    1963,    4080
570,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-02-25,98643,10299,49290,   -4406,     860,   -4547
571,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-02-18,103049,9439,53837,   -7474,    -763,   -3768
572,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-02-11,110523,10202,57605,  -14871,   -1494,   -9614
573,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-02-04,125394,11696,67219,  -11032,   -2301,  -12501
574,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-01-28,136426,13997,79720,   -1077,   -1648,    -579
575,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-01-21,137503,15645,80299,   25162,    5269,   17935
576,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-01-14,112341,10376,62364,   -9780,   -3837,   -8701
577,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2014-01-07,122121,14213,71065,    2050,    -217,    -779
578,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-12-31,120071,14430,71844,    2187,    -427,    2748
579,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-12-24,117884,14857,69096,    4766,    1105,    3691
580,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-12-17,113118,13752,65405,  -13502,   -5382,     421
581,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-12-10,126620,19134,64984,    5542,   -1063,     476
582,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-12-03,121078,20197,64508,    9405,    3000,   13800
583,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-11-26,111673,17197,50708,  -25026,    -388,   -2639
584,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-11-19,136699,17585,53347,    -542,   -2899,   -2946
585,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-11-12,137241,20484,56293,    7744,   -1873,    8869
586,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-11-05,129497,22357,47424,     444,   -2684,    -815
587,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-10-29,129053,25041,48239,    3461,    2159,    3246
588,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-10-22,125592,22882,44993,    1316,    5226,   -4900
589,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-10-15,124276,17656,49893,    7201,     435,    6268
590,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-10-08,117075,17221,43625,    3399,    2293,    -107
591,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-10-01,113676,14928,43732,  -12786,   -5121,  -11136
592,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-09-24,126462,20049,54868,   -3344,   -9756,   -2297
593,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-09-17,129806,29805,57165,  -53800,   21341,  -11331
594,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-09-10,183606,8464,68496,   -5728,   -5191,  -16665
595,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-09-03,189334,13655,85161,    2670,   -1007,    -618
596,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-08-27,186664,14662,85779,    2486,     986,    8920
597,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-08-20,184178,13676,76859,    -644,    1051,    1513
598,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-08-13,184822,12625,75346,  -17063,   -3941,  -17999
599,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-08-06,201885,16566,93345,    3613,   -2961,    1245
600,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-07-30,198272,19527,92100,   12923,    2183,   10774
601,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-07-23,185349,17344,81326,    -915,   -1878,   -8582
602,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-07-16,186264,19222,89908,    7669,   -1733,    5698
603,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-07-09,178595,20955,84210,   -4330,    -566,   -7826
604,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-07-02,182925,21521,92036,    8913,     118,    8989
605,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-06-25,174012,21403,83047,   -6883,   -7366,   -9243
606,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-06-18,180895,28769,92290,  -59172,    4287,    4531
607,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-06-11,240067,24482,87759,   27845,   -8371,   -3644
608,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-06-04,212222,32853,91403,    3195,   -9360,    6883
609,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-05-28,209027,42213,84520,    3726,   -7823,    2075
610,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-05-21,205301,50036,82445,   14417,  -11618,    7341
611,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-05-14,190884,61654,75104,   33714,     153,   20233
612,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-05-07,157170,61501,54871,   -1784,  -19802,    3802
613,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-04-30,158954,81303,51069,   -2798,   -1412,    -389
614,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-04-23,161752,82715,51458,   -7693,  -16119,    5799
