,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
615,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-04-16,169445,98834,45659,  -17466,  -18706,    5998
616,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-04-09,186911,117540,39661,  -10353,  -18000,  -11908
617,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-04-02,197264,135540,51569,   -4886,   -5546,   -4002
618,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-03-26,202150,141086,55571,   43343,   40088,    8628
619,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-03-19,158807,100998,46943,  -24288,   23252,   -7537
620,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-03-12,183095,77746,54480,   25500,   16431,     314
621,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-03-05,157595,61315,54166,     232,  -17825,     721
622,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-02-26,157363,79140,53445,   -1983,   -8781,    9505
623,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-02-19,159346,87921,43940,   -4399,  -11837,   -1704
624,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-02-12,163745,99758,45644,  -17036,  -22851,    3975
625,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-02-05,180781,122609,41669,   -2726,   -1911,    2445
626,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-01-29,183507,124520,39224,  -25269,  -19256,   -7541
627,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-01-22,208776,143776,46765,    5351,    6686,   -1268
628,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-01-15,203425,137090,48033,   19342,   14747,    6005
629,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2013-01-08,184083,122343,42028,   13926,    4989,    4196
630,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-12-31,170157,117354,37832,   -2961,    1213,   -2876
631,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-12-24,173118,116141,40708,  -31194,  -28825,   -6762
632,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-12-18,204312,144966,47470,  -25082,    5426,   11306
633,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-12-11,229394,139540,36164,   17322,    3322,   -7825
634,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-12-04,212072,136218,43989,   15552,   14032,   -1391
635,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-11-27,196520,122186,45380,   16156,   17569,    5474
636,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-11-20,180364,104617,39906,   -3075,   -1216,    2219
637,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-11-13,183439,105833,37687,    5018,    7796,     -33
638,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-11-06,178421,98037,37720,    3464,    7007,   -1220
639,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-10-30,174957,91030,38940,    6294,    7428,     989
640,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-10-23,168663,83602,37951,    6496,    5800,   -1407
641,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-10-16,162167,77802,39358,    -635,    -722,     648
642,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-10-09,162802,78524,38710,     103,  -20076,    3853
643,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-10-02,162699,98600,34857,  -16187,  -20544,    5275
644,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-09-25,178886,119144,29582,    4428,    2135,  -18181
645,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-09-18,174458,117009,47763,  -44452,    9472,    8485
