,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
113277,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-01-27,11752,2325,3545,   -5907,   -3479,   -4037
113278,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-01-20,17659,5804,7582,    -544,    -750,    -220
113279,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-01-13,18203,6554,7802,     424,     662,     253
113280,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1998-01-06,17779,5892,7549,    1371,     766,    1172
113281,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-12-30,16408,5126,6377,    3487,    3139,    2951
113282,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-12-23,12921,1987,3426,   -1905,   -2162,   -1761
113283,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-12-16,14826,4149,5187,   -2688,   -1287,   -1508
113284,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-12-09,17514,5436,6695,    3728,      -9,      10
113285,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-12-02,13786,5445,6685,    2481,    3660,    5417
113286,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-11-25,11305,1785,1268,   -2859,   -1896,   -2544
113287,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-11-18,14164,3681,3812,    2729,    1398,    1983
113288,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-11-11,11435,2283,1829,    -751,     276,     -37
113289,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-11-04,12186,2007,1866,     406,    1133,     326
113290,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-10-28,11780,874,1540,    1208,   -1331,    -426
113291,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-10-21,10572,2205,1966,    -422,    -907,    -361
113292,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-10-14,10994,3112,2327,      73,     131,    -346
113293,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-10-07,10921,2981,2673,    1560,    -322,    -452
113294,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-09-30,9361,3303,3125,     462,     114,       1
113295,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-09-23,8899,3189,3124,   -2574,    -151,      -7
