,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
550,64.0,94452.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-10-06,74919,51401,31210,    -550,   -1266,   -1561
551,94452.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-10-06,74919,51401,31210,    -550,   -1266,   -1561
552,94453.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-29,75469,52667,32771,   -3724,   -1870,    1076
553,65.0,94453.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-29,75469,52667,32771,   -3724,   -1870,    1076
554,94454.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-22,79193,54537,31695,    5409,    3704,    3894
555,66.0,94454.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-22,79193,54537,31695,    5409,    3704,    3894
557,67.0,94455.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-15,73784,50833,27801,    3749,    1802,    4136
556,94455.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-15,73784,50833,27801,    3749,    1802,    4136
558,94456.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-08,70035,49031,23665,      62,     -49,    -832
559,68.0,94456.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-08,70035,49031,23665,      62,     -49,    -832
560,69.0,94457.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-01,69973,49080,24497,   -4176,   -2718,   -4010
561,94457.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-09-01,69973,49080,24497,   -4176,   -2718,   -4010
562,70.0,94458.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-25,74149,51798,28507,   -4415,   -4035,   -5247
563,94458.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-25,74149,51798,28507,   -4415,   -4035,   -5247
564,94459.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-18,78564,55833,33754,    -320,     818,   -1718
565,71.0,94459.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-18,78564,55833,33754,    -320,     818,   -1718
566,94460.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-11,78884,55015,35472,    -879,    -771,   -1768
567,72.0,94460.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-11,78884,55015,35472,    -879,    -771,   -1768
569,73.0,94461.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-04,79763,55786,37240,     684,    -534,       3
568,94461.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-08-04,79763,55786,37240,     684,    -534,       3
570,94462.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-28,79079,56320,37237,   -1704,   -1125,     -69
571,74.0,94462.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-28,79079,56320,37237,   -1704,   -1125,     -69
572,75.0,94463.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-21,80783,57445,37306,     894,     636,     923
573,94463.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-21,80783,57445,37306,     894,     636,     923
574,94464.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-14,79889,56809,36383,    1568,     363,    1454
575,76.0,94464.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-14,79889,56809,36383,    1568,     363,    1454
576,77.0,94465.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-07,78321,56446,34929,     651,     432,     210
577,94465.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-07-07,78321,56446,34929,     651,     432,     210
578,78.0,94466.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-30,77670,56014,34719,   -6451,   -1262,   -3075
579,94466.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-30,77670,56014,34719,   -6451,   -1262,   -3075
580,79.0,94467.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-23,84121,57276,37794,    1643,   -1818,    2016
581,94467.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-23,84121,57276,37794,    1643,   -1818,    2016
583,94468.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-16,82478,59094,35778,    5174,    3026,    2759
582,80.0,94468.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-16,82478,59094,35778,    5174,    3026,    2759
584,81.0,94469.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-09,77304,56068,33019,     654,     623,    2491
585,94469.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-09,77304,56068,33019,     654,     623,    2491
586,82.0,94470.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-02,76650,55445,30528,    4226,    1942,    6201
587,94470.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-06-02,76650,55445,30528,    4226,    1942,    6201
588,83.0,94471.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-26,72424,53503,24327,    1583,     402,     885
589,94471.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-26,72424,53503,24327,    1583,     402,     885
590,84.0,94472.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-19,70841,53101,23442,    -847,     248,   -4328
591,94472.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-19,70841,53101,23442,    -847,     248,   -4328
592,85.0,94473.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-12,71688,52853,27770,    1625,    1923,    2156
593,94473.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-12,71688,52853,27770,    1625,    1923,    2156
595,94474.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-05,70063,50930,25614,    -736,    -394,    -475
594,86.0,94474.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-05-05,70063,50930,25614,    -736,    -394,    -475
596,87.0,94475.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-28,70799,51324,26089,    2131,     591,    2735
597,94475.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-28,70799,51324,26089,    2131,     591,    2735
598,88.0,94476.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-21,68668,50733,23354,     -31,     340,    2328
599,94476.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-21,68668,50733,23354,     -31,     340,    2328
600,89.0,94477.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-14,68699,50393,21026,     439,     -26,    -999
601,94477.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-14,68699,50393,21026,     439,     -26,    -999
602,94478.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-07,68260,50419,22025,    -588,    -634,   -4255
603,90.0,94478.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-04-07,68260,50419,22025,    -588,    -634,   -4255
604,94479.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-31,68848,51053,26280,   -4101,    -602,   -3215
605,91.0,94479.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-31,68848,51053,26280,   -4101,    -602,   -3215
607,94480.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-24,72949,51655,29495,     929,     672,    -554
606,92.0,94480.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-24,72949,51655,29495,     929,     672,    -554
608,94481.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-17,72020,50983,30049,    2679,    2423,    3507
609,93.0,94481.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-17,72020,50983,30049,    2679,    2423,    3507
610,94482.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-10,69341,48560,26542,     547,     653,    2176
611,94.0,94482.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-10,69341,48560,26542,     547,     653,    2176
612,95.0,94483.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-03,68794,47907,24366,    -225,     780,    1421
613,94483.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-03-03,68794,47907,24366,    -225,     780,    1421
614,94484.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-24,69019,47127,22945,    1304,     437,    3415
615,96.0,94484.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-24,69019,47127,22945,    1304,     437,    3415
616,97.0,94485.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-17,67715,46690,19530,    2866,    1272,    3439
617,94485.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-17,67715,46690,19530,    2866,    1272,    3439
619,94486.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-10,64849,45418,16091,      18,    -775,    2294
618,98.0,94486.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-10,64849,45418,16091,      18,    -775,    2294
620,94487.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-03,64831,46193,13797,   -1077,   -1322,    1125
621,99.0,94487.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-02-03,64831,46193,13797,   -1077,   -1322,    1125
622,100.0,94488.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-27,65908,47515,12672,   -2037,   -1621,   -3392
623,94488.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-27,65908,47515,12672,   -2037,   -1621,   -3392
624,101.0,94489.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-20,67945,49136,16064,    1587,    2776,   -1764
625,94489.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-20,67945,49136,16064,    1587,    2776,   -1764
626,102.0,94490.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-13,66358,46360,17828,      83,     795,    -437
627,94490.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-13,66358,46360,17828,      83,     795,    -437
628,94491.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-06,66275,45565,18265,    2100,    1868,    1712
629,103.0,94491.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2015-01-06,66275,45565,18265,    2100,    1868,    1712
630,94492.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-30,64175,43697,16553,   -2624,     495,    -358
631,104.0,94492.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-30,64175,43697,16553,   -2624,     495,    -358
632,94493.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-23,66799,43202,16911,     -11,    -193,     257
633,105.0,94493.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-23,66799,43202,16911,     -11,    -193,     257
635,106.0,94494.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-16,66810,43395,16654,    1672,     497,    1159
634,94494.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-16,66810,43395,16654,    1672,     497,    1159
636,107.0,94495.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-09,65138,42898,15495,    1616,     312,   -1265
637,94495.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-09,65138,42898,15495,    1616,     312,   -1265
638,108.0,94496.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-02,63522,42586,16760,    -520,      -1,   -3505
639,94496.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-12-02,63522,42586,16760,    -520,      -1,   -3505
640,94497.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-25,64042,42587,20265,    1600,    1543,    -482
641,109.0,94497.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-25,64042,42587,20265,    1600,    1543,    -482
642,94498.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-18,62442,41044,20747,    2275,     161,    1997
643,110.0,94498.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-18,62442,41044,20747,    2275,     161,    1997
644,94499.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-11,60167,40883,18750,     155,     558,    -255
645,111.0,94499.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-11,60167,40883,18750,     155,     558,    -255
647,94500.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-04,60012,40325,19005,    -683,     425,      55
646,112.0,94500.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-11-04,60012,40325,19005,    -683,     425,      55
648,113.0,94501.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-28,60695,39900,18950,     830,    -634,     912
649,94501.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-28,60695,39900,18950,     830,    -634,     912
650,114.0,94502.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-21,59865,40534,18038,    1296,     210,    2261
651,94502.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-21,59865,40534,18038,    1296,     210,    2261
652,94503.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-14,58569,40324,15777,    -991,    -160,    -328
653,115.0,94503.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-14,58569,40324,15777,    -991,    -160,    -328
654,116.0,94504.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-07,59560,40484,16105,     368,    -568,   -1280
655,94504.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-10-07,59560,40484,16105,     368,    -568,   -1280
656,94505.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-30,59192,41052,17385,   -5520,   -2501,    1673
657,117.0,94505.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-30,59192,41052,17385,   -5520,   -2501,    1673
659,118.0,94506.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-23,64712,43553,15712,     170,   -2862,    2613
658,94506.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-23,64712,43553,15712,     170,   -2862,    2613
660,119.0,94507.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-16,64542,46415,13099,   -1907,   -3125,    1183
661,94507.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-16,64542,46415,13099,   -1907,   -3125,    1183
662,120.0,94508.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-09,66449,49540,11916,    1434,   -1100,    1823
663,94508.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-09,66449,49540,11916,    1434,   -1100,    1823
664,121.0,94509.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-02,65015,50640,10093,    1790,    2047,    2072
665,94509.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-09-02,65015,50640,10093,    1790,    2047,    2072
666,94510.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-26,63225,48593,8021,    -621,   -1022,    3999
667,122.0,94510.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-26,63225,48593,8021,    -621,   -1022,    3999
668,94511.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-19,63846,49615,4022,    -917,   -1411,     -70
669,123.0,94511.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-19,63846,49615,4022,    -917,   -1411,     -70
671,94512.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-12,64763,51026,4092,   -2073,    -719,   -1160
670,124.0,94512.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-12,64763,51026,4092,   -2073,    -719,   -1160
672,125.0,94513.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-05,66836,51745,5252,   -2757,   -2082,    -982
673,94513.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-08-05,66836,51745,5252,   -2757,   -2082,    -982
674,126.0,94514.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-29,69593,53827,6234,   -1123,   -1210,    -793
675,94514.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-29,69593,53827,6234,   -1123,   -1210,    -793
676,94515.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-22,70716,55037,7027,   -1717,   -1201,    -561
677,127.0,94515.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-22,70716,55037,7027,   -1717,   -1201,    -561
678,94516.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-15,72433,56238,7588,    -495,     351,    1853
679,128.0,94516.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-15,72433,56238,7588,    -495,     351,    1853
680,94517.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-08,72928,55887,5735,    3462,    2809,   -1089
681,129.0,94517.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-08,72928,55887,5735,    3462,    2809,   -1089
683,94518.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-01,69466,53078,6824,    3941,    4796,    1977
682,130.0,94518.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-07-01,69466,53078,6824,    3941,    4796,    1977
684,94519.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-24,65525,48282,4847,   -2329,    -220,   -2377
685,131.0,94519.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-24,65525,48282,4847,   -2329,    -220,   -2377
686,132.0,94520.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-17,67854,48502,7224,   -1902,   -2352,   -1586
687,94520.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-17,67854,48502,7224,   -1902,   -2352,   -1586
688,133.0,94521.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-10,69756,50854,8810,    -119,   -1372,    2390
689,94521.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-10,69756,50854,8810,    -119,   -1372,    2390
690,94522.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-03,69875,52226,6420,    -429,    -698,    -817
691,134.0,94522.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-06-03,69875,52226,6420,    -429,    -698,    -817
692,135.0,94523.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-27,70304,52924,7237,     195,   -1033,     105
693,94523.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-27,70304,52924,7237,     195,   -1033,     105
694,136.0,94524.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-20,70109,53957,7132,    2677,    2096,    1476
695,94524.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-20,70109,53957,7132,    2677,    2096,    1476
697,137.0,94525.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-13,67432,51861,5656,    2493,    2576,    -822
696,94525.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-13,67432,51861,5656,    2493,    2576,    -822
699,138.0,94526.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-06,64939,49285,6478,    1512,    2261,    -403
698,94526.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-05-06,64939,49285,6478,    1512,    2261,    -403
700,139.0,94527.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-29,63427,47024,6881,    -218,    -837,    1371
701,94527.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-29,63427,47024,6881,    -218,    -837,    1371
702,94528.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-22,63645,47861,5510,   -3419,   -3173,   -1277
703,140.0,94528.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-22,63645,47861,5510,   -3419,   -3173,   -1277
704,94529.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-15,67064,51034,6787,     136,     462,    -525
705,141.0,94529.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-15,67064,51034,6787,     136,     462,    -525
706,142.0,94530.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-08,66928,50572,7312,     366,    1098,   -1314
707,94530.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-08,66928,50572,7312,     366,    1098,   -1314
708,94531.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-01,66562,49474,8626,   -3248,   -1246,    2300
709,143.0,94531.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-04-01,66562,49474,8626,   -3248,   -1246,    2300
711,144.0,94532.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-25,69810,50720,6326,   -1441,   -1370,    -931
710,94532.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-25,69810,50720,6326,   -1441,   -1370,    -931
712,145.0,94533.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-18,71251,52090,7257,    1503,    1526,    1413
713,94533.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-18,71251,52090,7257,    1503,    1526,    1413
714,94534.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-11,69748,50564,5844,    3590,    3618,   -1455
715,146.0,94534.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-11,69748,50564,5844,    3590,    3618,   -1455
716,94535.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-04,66158,46946,7299,    1505,    2369,   -2202
717,147.0,94535.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-03-04,66158,46946,7299,    1505,    2369,   -2202
718,94536.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-25,64653,44577,9501,    1277,    1410,    -208
719,148.0,94536.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-25,64653,44577,9501,    1277,    1410,    -208
720,94537.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-18,63376,43167,9709,      76,     -19,   -1079
721,149.0,94537.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-18,63376,43167,9709,      76,     -19,   -1079
723,150.0,94538.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-11,63300,43186,10788,    1912,    1435,    2353
722,94538.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-11,63300,43186,10788,    1912,    1435,    2353
724,94539.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-04,61388,41751,8435,     465,   -1359,    2214
725,151.0,94539.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-02-04,61388,41751,8435,     465,   -1359,    2214
726,152.0,94540.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-28,60923,43110,6221,     565,     553,   -1339
727,94540.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-28,60923,43110,6221,     565,     553,   -1339
728,153.0,94541.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-21,60358,42557,7560,    1722,    1706,    -911
729,94541.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-21,60358,42557,7560,    1722,    1706,    -911
730,154.0,94542.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-14,58636,40851,8471,    -925,     890,   -4295
731,94542.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-14,58636,40851,8471,    -925,     890,   -4295
732,155.0,94543.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-07,59561,39961,12766,   -2476,   -1224,   -5572
733,94543.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2014-01-07,59561,39961,12766,   -2476,   -1224,   -5572
734,156.0,94544.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-31,62037,41185,18338,   -2162,    -482,   -2174
735,94544.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-31,62037,41185,18338,   -2162,    -482,   -2174
737,157.0,94545.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-24,64199,41667,20512,     -12,   -1172,    1129
736,94545.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-24,64199,41667,20512,     -12,   -1172,    1129
738,158.0,94546.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-17,64211,42839,19383,    2059,     921,    1086
739,94546.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-17,64211,42839,19383,    2059,     921,    1086
740,94547.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-10,62152,41918,18297,     801,     543,     359
741,159.0,94547.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-10,62152,41918,18297,     801,     543,     359
742,160.0,94548.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-03,61351,41375,17938,     317,     303,    3585
743,94548.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-12-03,61351,41375,17938,     317,     303,    3585
744,161.0,94549.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-26,61034,41072,14353,    2463,    -440,    5427
745,94549.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-26,61034,41072,14353,    2463,    -440,    5427
746,162.0,94550.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-19,58571,41512,8926,    -477,    -943,    2728
747,94550.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-19,58571,41512,8926,    -477,    -943,    2728
749,94551.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-12,59048,42455,6198,     729,    1377,     209
748,163.0,94551.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-12,59048,42455,6198,     729,    1377,     209
750,164.0,94552.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-05,58319,41078,5989,     492,    1083,   -1919
751,94552.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-11-05,58319,41078,5989,     492,    1083,   -1919
752,94553.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-29,57827,39995,7908,   -1166,    -330,   -3205
753,165.0,94553.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-29,57827,39995,7908,   -1166,    -330,   -3205
754,166.0,94554.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-22,58993,40325,11113,   -1723,   -1046,   -2324
755,94554.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-22,58993,40325,11113,   -1723,   -1046,   -2324
756,167.0,94555.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-15,60716,41371,13437,    -172,    -968,    -518
757,94555.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-15,60716,41371,13437,    -172,    -968,    -518
758,168.0,94556.0,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-08,60888,42339,13955,    1180,     -12,    2791
759,94556.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-08,60888,42339,13955,    1180,     -12,    2791
760,94557.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2013-10-01,59708,42351,11164,     429,    1451,    3508
