,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
104,12055.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2023-01-31,69121,35098,18961,   -3492,   -4181,     -57
105,12056.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2023-01-24,72613,39279,19018,    1469,   -1108,    2175
106,12057.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2023-01-17,71144,40387,16843,   -1072,   -3358,    3800
107,12058.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2023-01-10,72216,43745,13043,    2529,    2190,    1991
108,12059.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2023-01-03,69687,41555,11052,    2870,    5229,    -608
109,11134.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-12-27,66817,36326,11660,   -3204,   -1047,   -1661
110,11135.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-12-20,70021,37373,13321,   -2395,   -1739,    2654
111,11136.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-12-13,72416,39112,10667,    3595,    2419,    -390
112,11137.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-12-06,68821,36693,11057,    2353,    1425,      48
113,11138.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-11-29,66468,35268,11009,    2764,    1436,    -333
114,11139.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-11-22,63704,33832,11342,     313,     753,     807
115,11140.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-11-15,63391,33079,10535,    3090,    2014,   -1081
116,11141.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-11-08,60301,31065,11616,    3767,    2454,   -1008
117,11142.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-11-01,56534,28611,12624,     417,     140,   -4466
118,11143.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-10-25,56117,28471,17090,    2389,    2086,    -801
119,11144.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-10-18,53728,26385,17891,    1293,    2079,    -487
120,11145.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-10-11,52435,24306,18378,   -3247,   -1304,   -3951
121,11146.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-10-04,55682,25610,22329,   -3312,    1666,   -1454
122,11147.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-09-27,58994,23944,23783,   -3906,   -3812,   -1583
123,11148.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-09-20,62900,27756,25366,   -5674,   -2796,   -7065
124,11149.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-09-13,68574,30552,32431,  -10036,   -3046,   -7918
125,11150.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-09-06,78610,33598,40349,    7863,    3963,    5336
126,11151.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-08-30,70747,29635,35013,    8418,    2665,    7467
127,11152.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-08-23,62329,26970,27546,    5075,     752,    4268
128,11153.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-08-16,57254,26218,23278,   -5528,   -1536,   -3630
129,11154.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-08-09,62782,27754,26908,   -5484,    -894,   -4281
130,11155.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-08-02,68266,28648,31189,   -5157,   -2379,   -4306
131,11156.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-07-26,73423,31027,35495,   -1646,   -1933,   -1747
132,11157.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-07-19,75069,32960,37242,    -546,     380,   -1249
133,11158.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-07-12,75615,32580,38491,    2720,     660,    3837
134,11159.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-07-05,72895,31920,34654,    4663,    3469,    4897
135,11160.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-06-28,68232,28451,29757,    3286,    2775,    5572
136,11161.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-06-21,64946,25676,24185,   -1667,     591,    1314
137,11162.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-06-14,66613,25085,22871,    1318,   -1919,    1800
138,11163.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-06-07,65295,27004,21071,   -2669,    -222,   -3792
139,11164.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-05-31,67964,27226,24863,    2140,    1174,     296
140,11165.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-05-24,65824,26052,24567,    -102,   -2201,   -1483
141,11166.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-05-17,65926,28253,26050,    -138,    -521,   -1361
142,11167.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-05-10,66064,28774,27411,    -481,    -742,   -3646
143,11168.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-05-03,66545,29516,31057,   -1046,    1395,     579
144,11169.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-04-26,67591,28121,30478,    5988,    -172,    9722
145,11170.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-04-19,61603,28293,20756,   -1760,    -251,   -1373
146,11171.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-04-12,63363,28544,22129,    2380,    -283,    4592
147,11172.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-04-05,60983,28827,17537,    -824,    -758,    1953
148,11173.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-03-29,61807,29585,15584,   -2193,   -2599,    3215
149,11174.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-03-22,64000,32184,12369,   -3727,   -1649,   -3532
150,11175.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-03-15,67727,33833,15901,   -4769,   -7925,     -24
151,11176.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-03-08,72496,41758,15925,    7113,    7856,   -1087
152,11177.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-03-01,65383,33902,17012,    3109,    1440,    2090
153,11178.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-02-22,62274,32462,14922,    2377,    4245,   -3163
154,11179.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-02-15,59897,28217,18085,    1131,      83,    1710
155,11180.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-02-08,58766,28134,16375,    4868,     -37,    2785
156,11181.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-02-01,53898,28171,13590,     508,     742,     -47
