,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
120129,DJIA Consolidated - CHICAGO BOARD OF TRADE,80805,2008-08-05,124601,CBT,0,124,32488,15682,14111,1025,11845,8294,28552,23430,3936,9058,32488,15682,14111,1025,11845,8294,28552,23430,3936,9058,0,0,0,0,0,0,0,0,0,0,     557,     721,    -148,      15,      40,      65,     776,     -68,    -219,     625,100.0,48.3,43.4,3.2,36.5,25.5,87.9,72.1,12.1,27.9,100.0,48.3,43.4,3.2,36.5,25.5,87.9,72.1,12.1,27.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,20,16,7,11,7,36,25,50,20,16,7,11,7,36,25,0,0,0,0,0,0,0,0,35.4,35.6,53.9,53.7,35.4,35.6,53.6,49.5,35.4,35.6,53.9,53.7,35.4,35.6,53.6,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120128,DJIA Consolidated - CHICAGO BOARD OF TRADE,80812,2008-08-12,124601,CBT,0,124,34956,15534,14060,1271,14317,11260,31122,26591,3834,8365,34956,15534,14060,1271,14317,11260,31122,26591,3834,8365,0,0,0,0,0,0,0,0,0,0,    2468,    -148,     -51,     246,    2472,    2966,    2570,    3161,    -102,    -693,100.0,44.4,40.2,3.6,41.0,32.2,89.0,76.1,11.0,23.9,100.0,44.4,40.2,3.6,41.0,32.2,89.0,76.1,11.0,23.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,19,17,9,14,9,40,28,54,19,17,9,14,9,40,28,0,0,0,0,0,0,0,0,38.6,36.0,57.0,53.9,38.6,35.9,56.8,50.0,38.6,36.0,57.0,53.9,38.6,35.9,56.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120127,DJIA Consolidated - CHICAGO BOARD OF TRADE,80819,2008-08-19,124601,CBT,0,124,35220,15409,15082,1058,14718,10688,31185,26828,4035,8392,35220,15409,15082,1058,14718,10688,31185,26828,4035,8392,0,0,0,0,0,0,0,0,0,0,     264,    -125,    1022,    -213,     401,    -572,      63,     237,     201,      27,100.0,43.8,42.8,3.0,41.8,30.3,88.5,76.2,11.5,23.8,100.0,43.8,42.8,3.0,41.8,30.3,88.5,76.2,11.5,23.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,18,18,8,15,9,39,29,54,18,18,8,15,9,39,29,0,0,0,0,0,0,0,0,35.5,35.6,54.8,51.8,35.5,35.5,54.8,47.2,35.5,35.6,54.8,51.8,35.5,35.5,54.8,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120126,DJIA Consolidated - CHICAGO BOARD OF TRADE,80826,2008-08-26,124601,CBT,0,124,36573,16530,14648,1674,13945,11187,32149,27509,4424,9064,36573,16530,14648,1674,13945,11187,32149,27509,4424,9064,0,0,0,0,0,0,0,0,0,0,    1353,    1121,    -434,     616,    -773,     499,     964,     681,     389,     672,100.0,45.2,40.1,4.6,38.1,30.6,87.9,75.2,12.1,24.8,100.0,45.2,40.1,4.6,38.1,30.6,87.9,75.2,12.1,24.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,17,19,9,16,10,39,32,55,17,19,9,16,10,39,32,0,0,0,0,0,0,0,0,35.3,33.2,54.3,49.2,35.3,32.4,52.5,44.7,35.3,33.2,54.3,49.2,35.3,32.4,52.5,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120125,DJIA Consolidated - CHICAGO BOARD OF TRADE,80902,2008-09-02,124601,CBT,0,124,36197,16763,14028,1705,16182,13772,34650,29505,1547,6692,36197,16763,14028,1705,16182,13772,34650,29505,1547,6692,0,0,0,0,0,0,0,0,0,0,    -376,     233,    -620,      31,    2237,    2585,    2501,    1996,   -2877,   -2372,100.0,46.3,38.8,4.7,44.7,38.0,95.7,81.5,4.3,18.5,100.0,46.3,38.8,4.7,44.7,38.0,95.7,81.5,4.3,18.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,17,19,10,16,11,40,33,56,17,19,10,16,11,40,33,0,0,0,0,0,0,0,0,35.6,39.4,56.6,56.0,35.6,33.1,53.2,45.0,35.6,39.4,56.6,56.0,35.6,33.1,53.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120124,DJIA Consolidated - CHICAGO BOARD OF TRADE,80909,2008-09-09,124601,CBT,0,124,40317,17030,14241,2343,20423,14870,39796,31454,521,8863,40317,17030,14241,2343,20423,14870,39796,31454,521,8863,0,0,0,0,0,0,0,0,0,0,    4120,     267,     213,     638,    4241,    1098,    5146,    1949,   -1026,    2171,100.0,42.2,35.3,5.8,50.7,36.9,98.7,78.0,1.3,22.0,100.0,42.2,35.3,5.8,50.7,36.9,98.7,78.0,1.3,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,18,21,12,15,11,39,38,57,18,21,12,15,11,39,38,0,0,0,0,0,0,0,0,36.4,35.5,60.4,52.9,35.2,26.9,49.7,35.1,36.4,35.5,60.4,52.9,35.2,26.9,49.7,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120123,DJIA Consolidated - CHICAGO BOARD OF TRADE,80916,2008-09-16,124601,CBT,0,124,61275,17392,14541,3805,27721,23034,48918,41380,12357,19895,61275,17392,14541,3805,27721,23034,48918,41380,12357,19895,0,0,0,0,0,0,0,0,0,0,   20958,     362,     300,    1462,    7298,    8164,    9122,    9926,   11836,   11032,100.0,28.4,23.7,6.2,45.2,37.6,79.8,67.5,20.2,32.5,100.0,28.4,23.7,6.2,45.2,37.6,79.8,67.5,20.2,32.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,19,23,15,19,15,47,44,65,19,23,15,19,15,47,44,0,0,0,0,0,0,0,0,30.1,29.5,47.7,42.3,28.5,18.9,39.8,28.4,30.1,29.5,47.7,42.3,28.5,18.9,39.8,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120122,DJIA Consolidated - CHICAGO BOARD OF TRADE,80923,2008-09-23,124601,CBT,0,124,23763,9179,3550,2,11004,11380,20185,14932,3578,8831,23763,9179,3550,2,11004,11380,20185,14932,3578,8831,0,0,0,0,0,0,0,0,0,0,  -37512,   -8213,  -10991,   -3803,  -16717,  -11654,  -28733,  -26448,   -8779,  -11064,100.0,38.6,14.9,0.0,46.3,47.9,84.9,62.8,15.1,37.2,100.0,38.6,14.9,0.0,46.3,47.9,84.9,62.8,15.1,37.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,11,6,1,9,8,20,15,33,11,6,1,9,8,20,15,0,0,0,0,0,0,0,0,47.2,42.2,68.2,55.2,44.7,42.2,65.7,54.3,47.2,42.2,68.2,55.2,44.7,42.2,65.7,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120121,DJIA Consolidated - CHICAGO BOARD OF TRADE,80930,2008-09-30,124601,CBT,0,124,25075,9883,3004,50,10577,12563,20510,15617,4565,9458,25075,9883,3004,50,10577,12563,20510,15617,4565,9458,0,0,0,0,0,0,0,0,0,0,    1312,     704,    -546,      48,    -427,    1183,     325,     685,     987,     627,100.0,39.4,12.0,0.2,42.2,50.1,81.8,62.3,18.2,37.7,100.0,39.4,12.0,0.2,42.2,50.1,81.8,62.3,18.2,37.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,14,6,2,10,9,25,17,38,14,6,2,10,9,25,17,0,0,0,0,0,0,0,0,42.5,38.1,62.0,52.9,40.1,38.0,59.7,52.0,42.5,38.1,62.0,52.9,40.1,38.0,59.7,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120120,DJIA Consolidated - CHICAGO BOARD OF TRADE,81007,2008-10-07,124601,CBT,0,124,25460,9809,3838,56,10577,12478,20442,16372,5018,9088,25460,9809,3838,56,10577,12478,20442,16372,5018,9088,0,0,0,0,0,0,0,0,0,0,     385,     -74,     834,       6,       0,     -85,     -68,     755,     453,    -370,100.0,38.5,15.1,0.2,41.5,49.0,80.3,64.3,19.7,35.7,100.0,38.5,15.1,0.2,41.5,49.0,80.3,64.3,19.7,35.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,14,8,4,10,9,25,20,39,14,8,4,10,9,25,20,0,0,0,0,0,0,0,0,41.2,38.1,60.5,52.7,38.9,38.0,58.2,52.5,41.2,38.1,60.5,52.7,38.9,38.0,58.2,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
