,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106182,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-23,21869,9910,2838,    2017,    1052,    -662
106183,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-16,19852,8858,3500,  -13961,   -4657,     114
106184,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-09,33813,13515,3386,    1364,    1001,    -769
106185,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-02,32449,12514,4155,    2017,    1312,    1283
106186,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-26,30432,11202,2872,   -1364,    -912,     163
106187,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-19,31796,12114,2709,   -1669,   -2664,   -1519
106188,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-12,33465,14778,4228,    -984,     604,   -4615
106189,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-05,34449,14174,8843,    2864,    3030,    -966
106190,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-28,31585,11144,9809,    -142,      39,    -961
106191,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-21,31727,11105,10770,   -2208,   -1135,   -1300
106192,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-14,33935,12240,12070,     690,    -506,    -556
106193,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-07,33245,12746,12626,    -904,    -933,    -347
106194,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-31,34149,13679,12973,   -2147,    1075,   -3586
106195,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-24,36296,12604,16559,   -2593,   -5525,     665
106196,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-17,38889,18129,15894,  -13495,   10912,     297
106197,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-10,52384,7217,15597,   11523,     190,    2508
106198,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-03,40861,7027,13089,    6096,    1799,    2776
106199,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-24,34765,5228,10313,     561,     488,    -471
106200,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-17,34204,4740,10784,    -255,   -1031,    -473
106201,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-10,34459,5771,11257,   -3962,   -2612,   -2476
106202,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-03,38421,8383,13733,   -4535,    -458,   -2481
106203,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-27,42956,8841,16214,   -4280,     615,   -1821
106204,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-20,47236,8226,18035,  -19036,    3304,  -13331
106205,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-13,66272,4922,31366,    1845,    -625,    1648
106206,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-06,64427,5547,29718,    6476,   -3304,    4322
106207,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-30,57951,8851,25396,    2930,    2337,    2036
106208,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-23,55021,6514,23360,    3644,  -12391,     800
106209,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-16,51377,18905,22560,  -27119,    9934,   -8508
106210,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-09,78496,8971,31068,   14837,     343,    -482
106211,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-02,63659,8628,31550,    2622,     475,     -27
