Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions,Close,Change Price,signal,Interpretation
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-12-31,23893,28951,    5242,    2504,48744,2114,-5058,2738.0,0.6734777688980103,-0.005102038383483887,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-12-24,18651,26447,    2491,    2070,46630,2290,-7796,421.0,0.6634599566459656,-0.0008400082588195801,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-12-17,16160,24377,    1727,  -15396,44340,-30854,-8217,17123.0,0.6593601107597351,0.0024420619010925293,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-12-10,14433,39773,   -2034,   -3686,75194,3299,-25340,1652.0,0.6548788547515869,0.0003771781921386719,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-12-03,16467,43459,    5841,   -2993,71895,1055,-26992,8834.0,0.6498781442642212,-0.0019519925117492676,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-11-26,10626,46452,   -1723,    -996,70840,-2233,-35826,-727.0,0.6415109038352966,-0.0011873841285705566,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-11-19,12349,47448,   -4401,   -5537,73073,-6321,-35099,1136.0,0.6397216320037842,-0.0034189224243164062,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-11-12,16750,52985,    2374,    -356,79394,4068,-36235,2730.0,0.6364886164665222,0.002827286720275879,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-11-05,14376,53341,    2764,    1326,75326,2848,-38965,1438.0,0.6402294635772705,0.0028077363967895508,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-10-29,11612,52015,    -537,    -276,72478,-1021,-40403,-261.0,0.6353886127471924,0.00017762184143066406,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-10-22,12149,52291,   -2234,   -2108,73499,-1297,-40142,-126.0,0.6411982774734497,1.6450881958007812e-05,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-10-15,14383,54399,       6,    1805,74796,1003,-40016,-1799.0,0.6306005120277405,0.0010520219802856445,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-10-08,14377,52594,   -1737,   -5994,73793,-1370,-38217,4257.0,0.6291682124137878,-0.0006935596466064453,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-10-01,16114,58588,   -3401,    -525,75163,89,-42474,-2876.0,0.626228928565979,0.001818239688873291,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-09-24,19515,59113,    3691,    7246,75074,6666,-39598,-3555.0,0.6297784447669983,-0.0020612478256225586,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-09-17,15824,51867,   -6666,    -413,68408,-4740,-36043,-6253.0,0.6343004107475281,-0.0019006729125976562,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-09-10,22490,52280,    1424,     538,73148,5321,-29790,886.0,0.6428015828132629,0.000994265079498291,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-09-03,21066,51742,     -69,    4560,67827,3155,-30676,-4629.0,0.6305209994316101,-0.0033693313598632812,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-08-27,21135,47182,      62,    7849,64672,1912,-26047,-7787.0,0.6386919617652893,0.0022438764572143555,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-08-20,21073,39333,     573,    5386,62760,2865,-18260,-4813.0,0.6404796242713928,-0.0006610751152038574,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-08-13,20500,33947,    2602,    4485,59895,2764,-13447,-1883.0,0.6448201537132263,-0.0014001131057739258,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-08-06,17898,29462,    2781,    2026,57131,3959,-11564,755.0,0.6559914946556091,0.0027511119842529297,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-07-30,15117,27436,    -912,    -818,53172,-894,-12319,-94.0,0.6630904078483582,0.0013120770454406738,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-07-23,16029,28254,    5190,      96,54066,4041,-12225,5094.0,0.6739906668663025,0.00404125452041626,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-07-16,10839,28158,     355,   -4531,50025,-4197,-17319,4886.0,0.6724406480789185,0.002221822738647461,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-07-09,10484,32689,    -788,   -2615,54222,-795,-22205,1827.0,0.6628003716468811,0.0026602745056152344,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-07-02,11272,35304,   -6339,   -6360,55017,-6811,-24032,21.0,0.6675121784210205,-0.000370025634765625,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-06-25,17611,41664,   -1941,   -2356,61828,-2412,-24053,415.0,0.6624096035957336,-0.0009315013885498047,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-06-18,19552,44020,   -3520,    4826,64240,1743,-24468,-8346.0,0.6497599482536316,-0.003698110580444336,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-06-11,23072,39194,    -404,   -4678,62497,-6263,-16122,4274.0,0.6614194512367249,0.0030005574226379395,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-06-04,23476,43872,   -1510,    2738,68760,6799,-20396,-4248.0,0.6592783331871033,-0.0016907453536987305,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-05-28,24986,41134,   -1460,    3824,61961,3413,-16148,-5284.0,0.6546516418457031,0.00010287761688232422,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-05-21,26446,37310,    7371,    6797,58548,8286,-10864,574.0,0.6540393233299255,0.004519999027252197,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-05-14,19075,30513,    2767,    1463,50262,1870,-11438,1304.0,0.6576784253120422,0.0005488991737365723,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-05-07,16308,29050,   -2730,   -1448,48392,-874,-12742,-1282.0,0.6607987880706787,0.0011290311813354492,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-04-30,19038,30498,   -2329,    3681,49266,4132,-11460,-6010.0,0.6670224070549011,0.001420736312866211,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-04-23,21367,26817,    4337,    6566,45134,7364,-5450,-2229.0,0.6683107018470764,0.0028728246688842773,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-04-16,17030,20251,   -1881,    -143,37770,171,-3221,-1738.0,0.6767594218254089,0.005740106105804443,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-04-09,18911,20394,   -1943,    -865,37599,-1565,-1483,-1078.0,0.6739407777786255,-0.0013197064399719238,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-04-02,20854,21259,   -1716,   -1513,39164,-3476,-405,-203.0,0.6790249347686768,0.003796398639678955,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-03-26,22570,22772,    5269,    4347,42640,6494,-202,922.0,0.6912713050842285,0.00045365095138549805,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-03-19,17301,18425,   -3673,    2048,36146,-6180,-1124,-5721.0,0.6846032738685608,-0.0009856224060058594,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-03-12,20974,16377,     287,   -2889,42326,3012,4597,3176.0,0.6837139129638672,-0.0016682147979736328,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-03-05,20687,19266,    2392,    1885,39314,3907,1421,507.0,0.6823703050613403,0.002278625965118408,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-02-26,18295,17381,    -423,   -2077,35407,-1351,914,1654.0,0.6885914206504822,-0.0009876489639282227,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-02-19,18718,19458,     774,     391,36758,1014,-740,383.0,0.6856594681739807,-0.0023350119590759277,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-02-12,17944,19067,   -1313,     357,35744,1690,-1123,-1670.0,0.673768162727356,-0.0003815293312072754,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-02-05,19257,18710,    4366,    1003,34054,2370,547,3363.0,0.687809944152832,-0.0024021267890930176,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-01-29,14891,17707,    -546,   -2319,31684,-1405,-2816,1773.0,0.6833588480949402,0.0010583996772766113,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-01-22,15437,20026,    1308,    2957,33089,2739,-4589,-1649.0,0.6729927659034729,-0.0022084712982177734,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-01-15,14129,17069,    -766,     636,30350,546,-2940,-1402.0,0.6826870441436768,0.0003260970115661621,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2019-01-08,14895,16433,   -3377,     123,29804,164,-1538,-3500.0,0.675369918346405,0.0013201236724853516,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-12-31,18272,16310,     555,     533,29640,1116,1962,22.0,0.6707717776298523,-0.001723170280456543,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-12-24,17717,15777,   -1103,     368,28524,-1151,1940,-1471.0,0.6717901825904846,-0.0017919540405273438,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-12-18,18820,15409,    -307,  -18959,29675,-32912,3411,18652.0,0.6809901595115662,-0.0042792558670043945,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-12-11,19127,34368,    1433,   -4623,62587,6239,-15241,6056.0,0.6874600052833557,-0.0013400912284851074,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-12-04,17694,38991,    1321,    2078,56348,2164,-21297,-757.0,0.6927990317344666,-0.0013127923011779785,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-11-27,16373,36913,     884,    2077,54184,523,-20540,-1193.0,0.677639901638031,-0.0022298097610473633,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-11-20,15489,34836,    4351,    2830,53661,3646,-19347,1521.0,0.6840881109237671,0.004980206489562988,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-11-13,11138,32006,     704,   -4154,50015,-1273,-20868,4858.0,0.6718308329582214,-0.005171418190002441,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-11-06,10434,36160,    1478,   -7827,51288,-8430,-25726,9305.0,0.666058361530304,-0.008091330528259277,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-10-30,8956,43987,    -678,    1305,59718,1035,-35031,-1983.0,0.6527883410453796,-0.00311279296875,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-10-23,9634,42682,   -1502,   -3866,58683,-3807,-33048,2364.0,0.6554110646247864,5.14984130859375e-05,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-10-16,11136,46548,   -4282,   -2690,62490,-2220,-35412,-1592.0,0.6572980284690857,-0.0010038018226623535,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-10-09,15418,49238,    4740,    7964,64710,8262,-33820,-3224.0,0.6451613306999207,-0.0036416053771972656,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-10-02,10678,41274,    -228,   -1467,56448,-546,-30596,1239.0,0.6604583859443665,0.0014667510986328125,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-09-25,10906,42741,    -115,    -269,56994,-435,-31835,154.0,0.6642178893089294,-0.00024276971817016602,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-09-18,11021,43010,   -8387,     955,57429,-2240,-31989,-9342.0,0.6564005613327026,-0.0025345683097839355,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-09-11,19408,42055,    3117,     870,59669,3888,-22647,2247.0,0.6520817875862122,0.0004462003707885742,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-09-04,16291,41185,    -154,     813,55781,1217,-24894,-967.0,0.6608948111534119,0.005500912666320801,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-08-28,16445,40372,     780,    -436,54564,-909,-23927,1216.0,0.6704300045967102,-0.0008912086486816406,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-08-21,15665,40808,     -58,   -1608,55473,-655,-25143,1550.0,0.6640812158584595,-0.006240963935852051,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-08-14,15723,42416,    1672,    3838,56128,4809,-26693,-2166.0,0.6575486660003662,0.00041049718856811523,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-08-07,14051,38578,    -403,     444,51319,-497,-24527,-847.0,0.6730290055274963,-0.0010298490524291992,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-07-31,14454,38134,    -523,   -1213,51816,-82,-23680,690.0,0.6823609471321106,0.0020194053649902344,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-07-24,14977,39347,    -415,   -1112,51898,-1356,-24370,697.0,0.6783201694488525,-0.0021834373474121094,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-07-17,15392,40459,    2222,     715,53254,467,-25067,1507.0,0.6785181164741516,0.0011031031608581543,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-07-10,13170,39744,   -1352,   -1182,52787,-889,-26574,-170.0,0.6849784255027771,0.0032361745834350586,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-07-03,14522,40926,    -376,    8466,53676,8650,-26404,-8842.0,0.6710913777351379,-0.004219233989715576,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-06-26,14898,32460,     242,    1864,45026,1718,-17562,-1622.0,0.6889187097549438,0.0038605332374572754,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-06-19,14656,30596,  -20180,    2766,43308,-21391,-15940,-22946.0,0.6931304335594177,0.0026514530181884766,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-06-12,34836,27830,    1529,   -1094,64699,2634,7006,2623.0,0.7017495036125183,0.0011995434761047363,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-06-05,33307,28924,    2362,    -620,62065,-458,4383,2982.0,0.7031705975532532,0.00020265579223632812,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-05-29,30945,29544,    3868,    1104,62523,2067,1401,2764.0,0.6940010786056519,0.005058646202087402,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-05-22,27077,28440,   -1677,    1639,60456,582,-1363,-3316.0,0.69533771276474,0.001134335994720459,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-05-15,28754,26801,    -250,   10343,59874,10149,1953,-10593.0,0.6918021440505981,0.005441486835479736,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-05-08,29004,16458,    -895,    3132,49725,2120,12546,-4027.0,0.7022915482521057,0.005378901958465576,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-05-01,29899,13326,  -10034,   -2173,47605,-7780,16573,-7861.0,0.7037693858146667,0.0036706924438476562,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-04-24,39933,15499,   -7322,   -4153,55385,-6052,24434,-3169.0,0.7150518298149109,0.0032827258110046387,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-04-17,47255,19652,    5603,     827,61437,5499,27603,4776.0,0.736680805683136,0.0026119351387023926,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-04-10,41652,18825,    8704,    4254,55938,8859,22827,4450.0,0.7307590842247009,-0.006339848041534424,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-04-03,32948,14571,     199,      61,47079,351,18377,138.0,0.7203105688095093,-0.006069362163543701,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-03-27,32749,14510,    1671,    3058,46728,2246,18239,-1387.0,0.7302681803703308,0.0032597780227661133,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-03-20,31078,11452,   -3611,  -26053,44482,-22390,19626,22442.0,0.7243017554283142,0.006369948387145996,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-03-13,34689,37505,    1598,    4444,66872,7518,-2816,-2846.0,0.7301188707351685,-0.002868473529815674,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-03-06,33091,33061,     912,    -109,59354,911,30,1021.0,0.7225120067596436,-0.005788266658782959,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-02-27,32179,33170,    2757,    4692,58443,3960,-991,-1935.0,0.7291393280029297,0.005618393421173096,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-02-20,29422,28478,     774,    2050,54483,744,944,-1276.0,0.7363878488540649,0.002157270908355713,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-02-13,28648,26428,    -668,     444,53739,-1824,2220,-1112.0,0.726300835609436,-0.0019676685333251953,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-02-06,29316,25984,    -351,    -213,55563,-220,3332,-138.0,0.7266914248466492,-0.006467878818511963,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-01-30,29667,26197,    5047,     111,55783,2409,3470,4936.0,0.7325094938278198,-0.0014785528182983398,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-01-23,24620,26086,    6825,     300,53374,6594,-1466,6525.0,0.7319090366363525,-0.004381239414215088,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-01-16,17795,25786,     491,   -2535,46780,1261,-7991,3026.0,0.7296607494354248,0.0027686357498168945,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-01-09,17304,28321,    1795,   -4173,45519,378,-11017,5968.0,0.7175402641296387,0.003091275691986084,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2018-01-02,15509,32494,   -2631,   -3232,45141,-2078,-16985,601.0,0.708817720413208,-0.0012028217315673828,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-12-26,18140,35726,   -1316,    -349,47219,-1166,-17586,-967.0,0.702799916267395,-0.00044977664947509766,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-12-19,19456,36075,   -4355,   -1164,48385,-25807,-16619,-3191.0,0.6994816660881042,0.002389252185821533,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-12-12,23811,37239,    -417,     118,74192,12806,-13428,-535.0,0.6909608244895935,-0.0028668642044067383,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-12-05,24228,37121,     268,    -861,61386,126,-12893,1129.0,0.6867990493774414,-0.0007129907608032227,1,Market is Strong (Bullish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-11-28,23960,37982,    1471,    2099,61260,1523,-14022,-628.0,0.6920223832130432,0.0019103288650512695,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-11-21,22489,35883,    4343,    5846,59737,6047,-13394,-1503.0,0.6811988949775696,-0.0034606456756591797,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-11-14,18146,30037,    -797,     -93,53690,1618,-11891,-704.0,0.6898311972618103,0.0019502639770507812,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-11-07,18943,30130,   -2820,    2660,52072,2462,-11187,-5480.0,0.6941311359405518,0.0030699968338012695,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-10-31,21763,27470,    1214,    7532,49610,8425,-5707,-6318.0,0.6882407069206238,-0.0022478103637695312,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-10-24,20549,19938,     126,    6492,41185,7428,611,-6366.0,0.698319137096405,0.0079498291015625,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-10-17,20423,13446,   -1106,   -2354,33757,-2703,6977,1248.0,0.7185094952583313,0.0008507966995239258,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-10-10,21529,15800,     601,    2990,36460,2285,5729,-2389.0,0.7066088914871216,-0.0007697939872741699,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-10-03,20928,12810,   -1441,   -1506,34175,-1739,8118,65.0,0.7192278504371643,0.0028954744338989258,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-09-26,22369,14316,    -879,   -2262,35914,-1159,8053,1383.0,0.7273097634315491,0.00694727897644043,4,Market is weakening (Bullish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-09-19,23248,16578,   -1902,    3778,37073,-12183,6670,-5680.0,0.7265593409538269,-0.0048999786376953125,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-09-12,25150,12800,   -1623,     750,49256,3162,12350,-2373.0,0.7254314422607422,-0.0029006600379943848,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-09-05,26773,12050,   -2229,    1852,46094,2362,14723,-4081.0,0.7161579728126526,-0.009752631187438965,2,Market is Weak (Bearish)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-08-29,29002,10198,    -588,    2490,43732,-358,18804,-3078.0,0.7244381904602051,-0.0014513731002807617,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-08-22,29590,7708,   -3919,    -962,44090,-4323,21882,-2957.0,0.7327295541763306,0.00458836555480957,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-08-15,33509,8670,   -6732,    1914,48413,-4738,24839,-8646.0,0.7296394109725952,0.006317317485809326,3,Market is Strengthening (Bearish Reversal)
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2017-08-08,40241,6756,   -1290,     163,53151,-1817,33485,-1453.0,0.7359488606452942,0.0034500956535339355,3,Market is Strengthening (Bearish Reversal)
