,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
94,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-18,139289,83118,2934,7240,267698,7645,56171,-4306.0
95,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-11,136355,75878,8984,6420,260053,9650,60477,2564.0
96,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-04,127371,69458,17954,9320,250403,16734,57913,8634.0
97,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-28,109417,60138,7518,9769,233669,11539,49279,-2251.0
98,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-21,101899,50369,-45506,-30909,222130,-38284,51530,-14597.0
99,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-14,147405,81278,-30098,-127477,260414,-116298,66127,97379.0
100,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-07,177503,208755,7734,3841,376712,81971,-31252,3893.0
101,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-28,169769,204914,17094,15366,294741,17388,-35145,1728.0
102,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-21,152675,189548,-695,-3489,277353,-1651,-36873,2794.0
103,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-14,153370,193037,14599,9988,279004,16555,-39667,4611.0
104,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-07,138771,183049,-18179,-19171,262449,-23032,-44278,992.0
105,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-31,156950,202220,8685,5215,285481,12826,-45270,3470.0
