,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
106,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-24,148265,197005,-2278,-2177,272655,-1572,-48740,-101.0
107,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-17,150543,199182,1026,-3716,274227,3401,-48639,4742.0
108,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-10,149517,202898,18316,15321,270826,25797,-53381,2995.0
109,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-03,131201,187577,5310,9960,245029,12622,-56376,-4650.0
110,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-27,125891,177617,1417,-1953,232407,3132,-51726,3370.0
111,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-20,124474,179570,-44007,55453,229275,-60841,-55096,-99460.0
112,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-13,168481,124117,-9074,-5486,290116,-3592,44364,-3588.0
113,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-06,177555,129603,-22189,-4055,293708,-14025,47952,-18134.0
114,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-29,199744,133658,11298,8531,307733,11588,66086,2767.0
115,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-22,188446,125127,-9254,-4722,296145,-7297,63319,-4532.0
116,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-15,197700,129849,5676,-2561,303442,3422,67851,8237.0
117,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-08,192024,132410,9708,-5861,300020,17156,59614,15569.0
118,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-01,182316,138271,20758,-10713,282864,33954,44045,31471.0
119,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-25,161558,148984,28126,-6742,248910,33074,12574,34868.0
120,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-18,133432,155726,13193,1833,215836,9666,-22294,11360.0
121,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-11,120239,153893,11613,7946,206170,13818,-33654,3667.0
122,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-04,108626,145947,20903,16902,192352,19307,-37321,4001.0
123,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-27,87723,129045,-8948,4341,173045,395,-41322,-13289.0
124,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-20,96671,124704,-7101,-4449,172650,-35753,-28033,-2652.0
125,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-13,103772,129153,6660,2581,208403,9242,-25381,4079.0
126,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-06,97112,126572,-6511,-6081,199161,-7662,-29460,-430.0
127,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-30,103623,132653,567,-1719,206823,1248,-29030,2286.0
128,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-23,103056,134372,-5586,4359,205575,3957,-31316,-9945.0
129,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-16,108642,130013,13070,6820,201618,11630,-21371,6250.0
130,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-09,95572,123193,-5843,-1275,189988,-2983,-27621,-4568.0
