,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
470,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-02-02,25970,30665,    1038,    1230,59370,    3676,-4695,-192.0
471,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-01-26,24932,29435,    -259,    5150,55694,    6404,-4503,-5409.0
472,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-01-19,25191,24285,     707,    3125,49290,    2862,906,-2418.0
473,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-01-12,24484,21160,   -1935,   -1639,46428,   -3848,3324,-296.0
474,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-01-05,26419,22799,    -417,    -473,50276,    1162,3620,56.0
475,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-12-29,26836,23272,    -810,   -1622,49114,   -1151,3564,812.0
476,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-12-22,27646,24894,   -2064,   -2865,50265,   -2203,2752,801.0
477,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-12-15,29710,27759,   18172,   -9319,52468,  -24790,1951,27491.0
478,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-12-08,11538,37078,   -6775,   -6024,77258,   -1288,-25540,-751.0
479,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-12-01,18313,43102,      -1,    2579,78546,    5601,-24789,-2580.0
480,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-11-24,18314,40523,    -700,    6180,72945,    5826,-22209,-6880.0
481,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-11-17,19014,34343,      69,    6088,67119,    7088,-15329,-6019.0
482,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-11-10,18945,28255,    1153,    3428,60031,    8078,-9310,-2275.0
483,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-11-03,17792,24827,    3845,   12379,51953,   13500,-7035,-8534.0
484,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-10-27,13947,12448,    1950,    1076,38453,    2825,1499,874.0
485,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-10-20,11997,11372,    1134,   -1843,35628,     694,625,2977.0
486,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-10-13,10863,13215,   -1543,   -3161,34934,   -3892,-2352,1618.0
487,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-10-06,12406,16376,    -860,     395,38826,     597,-3970,-1255.0
488,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-09-29,13266,15981,    -456,     383,38229,    1248,-2715,-839.0
489,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-09-22,13722,15598,   -5317,     341,36981,    -865,-1876,-5658.0
490,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-09-15,19039,15257,   13454,    2776,37846,   -3091,3782,10678.0
491,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-09-08,5585,12481,     143,   -1464,40937,    4734,-6896,1607.0
492,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-09-01,5442,13945,     553,   -3541,36203,   -1698,-8503,4094.0
493,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-08-25,4889,17486,   -3294,    -565,37901,   -5687,-12597,-2729.0
494,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-08-18,8183,18051,   -1485,    1371,43588,     -89,-9868,-2856.0
495,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-08-11,9668,16680,   -1696,    3850,43677,    6278,-7012,-5546.0
496,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-08-04,11364,12830,    1603,    3193,37399,    5034,-1466,-1590.0
497,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-07-28,9761,9637,    -120,    3173,32365,    3941,124,-3293.0
498,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-07-21,9881,6464,    3383,    3047,28424,    6034,3417,336.0
499,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-07-14,6498,3417,   -2727,     313,22390,   -1350,3081,-3040.0
500,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-07-07,9225,3104,    -334,     400,23740,    2268,6121,-734.0
501,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-30,9559,2704,    -351,    -134,21472,    -397,6855,-217.0
502,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-23,9910,2838,    1052,    -662,21869,    2017,7072,1714.0
503,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-16,8858,3500,   -4657,     114,19852,  -13961,5358,-4771.0
504,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-09,13515,3386,    1001,    -769,33813,    1364,10129,1770.0
505,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-06-02,12514,4155,    1312,    1283,32449,    2017,8359,29.0
506,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-26,11202,2872,    -912,     163,30432,   -1364,8330,-1075.0
507,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-19,12114,2709,   -2664,   -1519,31796,   -1669,9405,-1145.0
508,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-12,14778,4228,     604,   -4615,33465,    -984,10550,5219.0
509,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-05-05,14174,8843,    3030,    -966,34449,    2864,5331,3996.0
510,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-28,11144,9809,      39,    -961,31585,    -142,1335,1000.0
511,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-21,11105,10770,   -1135,   -1300,31727,   -2208,335,165.0
512,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-14,12240,12070,    -506,    -556,33935,     690,170,50.0
513,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-04-07,12746,12626,    -933,    -347,33245,    -904,120,-586.0
514,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-31,13679,12973,    1075,   -3586,34149,   -2147,706,4661.0
515,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-24,12604,16559,   -5525,     665,36296,   -2593,-3955,-6190.0
516,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-17,18129,15894,   10912,     297,38889,  -13495,2235,10615.0
517,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-10,7217,15597,     190,    2508,52384,   11523,-8380,-2318.0
518,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-03-03,7027,13089,    1799,    2776,40861,    6096,-6062,-977.0
519,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-24,5228,10313,     488,    -471,34765,     561,-5085,959.0
520,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-17,4740,10784,   -1031,    -473,34204,    -255,-6044,-558.0
521,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-10,5771,11257,   -2612,   -2476,34459,   -3962,-5486,-136.0
522,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-02-03,8383,13733,    -458,   -2481,38421,   -4535,-5350,2023.0
523,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-27,8841,16214,     615,   -1821,42956,   -4280,-7373,2436.0
524,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-20,8226,18035,    3304,  -13331,47236,  -19036,-9809,16635.0
525,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-13,4922,31366,    -625,    1648,66272,    1845,-26444,-2273.0
526,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2015-01-06,5547,29718,   -3304,    4322,64427,    6476,-24171,-7626.0
527,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-30,8851,25396,    2337,    2036,57951,    2930,-16545,301.0
528,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-23,6514,23360,  -12391,     800,55021,    3644,-16846,-13191.0
529,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-16,18905,22560,    9934,   -8508,51377,  -27119,-3655,18442.0
530,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-09,8971,31068,     343,    -482,78496,   14837,-22097,825.0
531,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-12-02,8628,31550,     475,     -27,63659,    2622,-22922,502.0
532,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-25,8153,31577,    -989,     319,61037,     319,-23424,-1308.0
533,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-18,9142,31258,     390,    -169,60718,    -562,-22116,559.0
534,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-11,8752,31427,     908,    3362,61280,    1581,-22675,-2454.0
535,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-04,7844,28065,     957,     895,59699,    2693,-20221,62.0
536,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-28,6887,27170,    -756,    1665,57006,    1456,-20283,-2421.0
537,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-21,7643,25505,   -3470,   -3161,55550,   -5418,-17862,-309.0
538,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-14,11113,28666,   -4396,     738,60968,     452,-17553,-5134.0
539,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-07,15509,27928,    3511,    3373,60516,    3293,-12419,138.0
540,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-30,11998,24555,    3644,    2826,57223,    5099,-12557,818.0
541,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-23,8354,21729,   -4535,   -2556,52124,   -2805,-13375,-1979.0
542,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-16,12889,24285,    3033,     604,54929,  -22388,-11396,2429.0
543,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-09,9856,23681,     690,    1348,77317,   16881,-13825,-658.0
544,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-02,9166,22333,    1700,    1828,60436,    6675,-13167,-128.0
545,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-26,7466,20505,    1292,   -1161,53761,    3347,-13039,2453.0
546,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-19,6174,21666,     927,    -940,50414,   -1567,-15492,1867.0
547,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-12,5247,22606,   -4000,   -5494,51981,   -5257,-17359,1494.0
548,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-05,9247,28100,     582,    7671,57238,   13216,-18853,-7089.0
549,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-29,8665,20429,    -977,    3407,44022,    5663,-11764,-4384.0
550,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-22,9642,17022,     843,    1961,38359,    3352,-7380,-1118.0
551,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-15,8799,15061,    -337,    -888,35007,     -46,-6262,551.0
552,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-08,9136,15949,    -595,   -1042,35053,    -168,-6813,447.0
553,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-01,9731,16991,     662,    2550,35221,    1622,-7260,-1888.0
554,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-24,9069,14441,   -6227,    2665,33599,    1340,-5372,-8892.0
555,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-17,15296,11776,    5681,    -869,32259,  -20186,3520,6550.0
556,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-10,9615,12645,   -2292,   -1274,52445,    3509,-3030,-1018.0
557,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-03,11907,13919,     348,   -1512,48936,     652,-2012,1860.0
558,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-27,11559,15431,   -5828,    3063,48284,    -519,-3872,-8891.0
559,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-20,17387,12368,     436,    2223,48803,    3521,5019,-1787.0
560,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-13,16951,10145,   -8151,   -1773,45282,  -10256,6806,-6378.0
561,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-06,25102,11918,    3142,    3661,55538,    8114,13184,-519.0
562,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-29,21960,8257,     228,     548,47424,     536,13703,-320.0
563,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-22,21732,7709,   -2173,   -2130,46888,   -2088,14023,-43.0
564,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-15,23905,9839,    4630,    1899,48976,    4224,14066,2731.0
565,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-08,19275,7940,   -5525,   -2629,44752,   -2476,11335,-2896.0
566,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-01,24800,10569,    -237,     351,47228,    -125,14231,-588.0
567,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-25,25037,10218,    -274,      23,47353,   -2038,14819,-297.0
