,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
11,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-10-14,23892,24344,     364,    -292,28503,    -498,-452,656.0
12,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-10-07,23528,24636,     879,    1879,29001,    2127,-1108,-1000.0
13,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-09-30,22649,22757,    -491,    -304,26874,    -935,-108,-187.0
14,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-09-23,23140,23061,    -648,    -707,27809,   -1035,79,59.0
15,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-09-16,23788,23768,     713,     225,28844,    1914,20,488.0
16,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-09-09,23075,23543,     623,     189,26930,     246,-468,434.0
17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-09-02,22452,23354,    -341,     189,26684,    -797,-902,-530.0
18,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-08-26,22793,23165,    -271,   -1099,27481,   -1490,-372,828.0
19,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-08-19,23064,24264,    -374,      84,28971,    1120,-1200,-458.0
20,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-08-12,23438,24180,     399,    -360,27851,     290,-742,759.0
21,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-08-05,23039,24540,    -812,    -319,27561,    -507,-1501,-493.0
22,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-07-29,23851,24859,    -596,   -1440,28068,   -2729,-1008,844.0
23,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-07-22,24447,26299,     165,    -469,30797,    -512,-1852,634.0
24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-07-15,24282,26768,     268,     318,31309,    1718,-2486,-50.0
25,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-07-08,24014,26450,    -172,     508,29591,     203,-2436,-680.0
26,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-07-01,24186,25942,     -46,    -451,29388,   -1964,-1756,405.0
27,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-06-24,24232,26393,    -132,     245,31352,     492,-2161,-377.0
28,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-06-17,24364,26148,    -417,    -642,30860,     599,-1784,225.0
29,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-06-10,24781,26790,     697,     394,30261,     503,-2009,303.0
30,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-06-03,24084,26396,    -462,    -424,29758,   -2206,-2312,-38.0
31,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-05-27,24546,26820,     404,     726,31964,     -69,-2274,-322.0
32,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-05-20,24142,26094,     689,    1814,32033,    2963,-1952,-1125.0
33,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-05-13,23453,24280,     517,    -437,29070,    1099,-827,954.0
34,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-05-06,22936,24717,     581,    1131,27971,    1005,-1781,-550.0
35,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-04-29,22355,23586,    -703,    -278,26966,   -1236,-1231,-425.0
36,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-04-22,23058,23864,    2411,    3803,28202,    1076,-806,-1392.0
37,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-04-15,20647,20061,   -1741,    -995,27126,     217,586,-746.0
38,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-04-08,22388,21056,    -985,   -1826,26909,    -160,1332,841.0
39,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-04-01,23373,22882,   -1003,    -315,27069,   -1967,491,-688.0
40,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-03-25,24376,23197,    -865,    -203,29036,   -1177,1179,-662.0
41,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-03-18,25241,23400,     756,     444,30213,    1668,1841,312.0
42,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-03-11,24485,22956,      16,    -899,28545,     336,1529,915.0
43,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-03-04,24469,23855,   -1268,   -1678,28209,   -3851,614,410.0
44,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-25,25737,25533,   -1630,   -2201,32060,   -1773,204,571.0
45,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-18,27367,27734,     565,     565,33833,     884,-367,0.0
46,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-11,26802,27169,    -768,     385,32949,      57,-367,-1153.0
47,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-02-04,27570,26784,   -1023,    -644,32892,   -1425,786,-379.0
48,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-28,28593,27428,    -528,    -954,34317,   -4239,1165,426.0
49,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-21,29121,28382,     155,     751,38556,    3085,739,-596.0
50,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-14,28966,27631,     -80,    -225,35471,     392,1335,145.0
51,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2025-01-07,29046,27856,    1218,    -291,35079,    1186,1190,1509.0
52,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-31,27828,28147,   -2386,   -2196,33893,   -3232,-319,-190.0
53,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-24,30214,30343,   -2859,   -2559,37125,   -5399,-129,-300.0
54,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-17,33073,32902,    1905,    1014,42524,    4936,171,891.0
55,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-10,31168,31888,     543,    -332,37588,     567,-720,875.0
56,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-12-03,30625,32220,     285,     684,37021,   -3489,-1595,-399.0
57,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-26,30340,31536,    -812,   -1700,40510,    -693,-1196,888.0
58,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-19,31152,33236,     265,     551,41203,    2672,-2084,-286.0
59,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-12,30887,32685,    4584,    4925,38531,    6520,-1798,-341.0
60,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-11-05,26303,27760,   -1853,   -2265,32011,   -1776,-1457,412.0
61,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-29,28156,30025,    1290,    1514,33787,     225,-1869,-224.0
62,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-22,26866,28511,     108,    -119,33562,    -932,-1645,227.0
63,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-15,26758,28630,    2525,    3115,34494,    5112,-1872,-590.0
64,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-08,24233,25515,     827,     425,29382,     843,-1282,402.0
65,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-10-01,23406,25090,    -450,    -312,28539,   -2003,-1684,-138.0
66,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-24,23856,25402,     -10,     563,30542,    -453,-1546,-573.0
67,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-17,23866,24839,     897,    1517,30995,    2838,-973,-620.0
68,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-10,22969,23322,    -380,      81,28157,    1298,-353,-461.0
69,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-09-03,23349,23241,   -1756,   -2030,26859,   -2958,108,274.0
70,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-27,25105,25271,    1089,    1012,29817,     187,-166,77.0
71,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-20,24016,24259,    -105,     533,29630,    1756,-243,-638.0
72,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-13,24121,23726,     167,     310,27874,     339,395,-143.0
73,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-08-06,23954,23416,    -206,   -1746,27535,   -1070,538,1540.0
74,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-30,24160,25162,    -361,     -20,28605,   -3830,-1002,-341.0
75,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-23,24521,25182,    -189,    -107,32435,    1252,-661,-82.0
76,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-16,24710,25289,    1627,    2088,31183,    2942,-579,-461.0
77,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-09,23083,23201,    1813,    1019,28241,    1178,-118,794.0
78,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-07-02,21270,22182,    -833,    -545,27063,   -3108,-912,-288.0
79,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-25,22103,22727,    -731,    -830,30171,    -456,-624,99.0
80,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-18,22834,23557,    -167,    -582,30627,     124,-723,415.0
81,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-11,23001,24139,   -1469,   -1450,30503,    -583,-1138,-19.0
82,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-06-04,24470,25589,    1709,    2072,31086,     831,-1119,-363.0
83,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-28,22761,23517,    -437,    -571,30255,    -439,-756,134.0
84,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-21,23198,24088,    2120,    2833,30694,    3617,-890,-713.0
85,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-14,21078,21255,     308,    -298,27077,     922,-177,606.0
86,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-05-07,20770,21553,    1201,    1990,26155,    1360,-783,-789.0
87,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-30,19569,19563,   -2865,   -2871,24795,   -3137,6,6.0
88,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-23,22434,22434,      95,    -268,27932,   -1594,0,363.0
89,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-16,22339,22702,   -1233,   -1023,29526,     452,-363,-210.0
90,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-09,23572,23725,    -739,    -426,29074,    -671,-153,-313.0
91,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-04-02,24311,24151,    -906,   -2141,29745,   -1493,160,1235.0
92,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-26,25217,26292,     534,    -487,31238,   -1958,-1075,1021.0
93,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-19,24683,26779,    -294,     808,33196,    2798,-2096,-1102.0
94,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-12,24977,25971,    2621,    2263,30398,    2651,-994,358.0
95,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-03-05,22356,23708,    2322,    1707,27747,    2518,-1352,615.0
96,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-27,20034,22001,     410,     279,25229,    -301,-1967,131.0
97,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-20,19624,21722,     477,     654,25530,     761,-2098,-177.0
98,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-13,19147,21068,    2867,    3265,24769,    3872,-1921,-398.0
99,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-02-06,16280,17803,    -239,    -514,20897,     218,-1523,275.0
100,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-30,16519,18317,     289,     426,20679,   -2136,-1798,-137.0
101,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-23,16230,17891,   -1347,    -680,22815,    -471,-1661,-667.0
102,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-16,17577,18571,   -3077,   -3701,23286,   -3560,-994,624.0
103,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-09,20654,22272,    2359,    1756,26846,    3267,-1618,603.0
104,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2024-01-02,18295,20516,    2021,    1940,23579,    1053,-2221,81.0
105,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-12-26,16274,18576,    -243,    -292,22526,    -713,-2302,49.0
106,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-12-19,16517,18868,     803,    1087,23239,    2028,-2351,-284.0
107,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-12-12,15714,17781,   -2193,   -2376,21211,   -1824,-2067,183.0
108,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-12-05,17907,20157,   -1072,    -567,23035,       8,-2250,-505.0
109,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-11-28,18979,20724,    1829,    2698,23027,    1088,-1745,-869.0
110,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-11-21,17150,18026,    1211,     743,21939,     736,-876,468.0
111,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-11-14,15939,17283,   -1314,   -1647,21203,    -546,-1344,333.0
112,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-11-07,17253,18930,    1758,    1689,21749,    2146,-1677,69.0
113,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-10-31,15495,17241,     681,    1973,19603,     -75,-1746,-1292.0
114,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-10-24,14814,15268,    2048,    2829,19678,    3117,-454,-781.0
115,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-10-17,12766,12439,    1007,    1831,16561,    1878,327,-824.0
116,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-10-10,11759,10608,    -205,    -300,14683,     236,1151,95.0
117,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-10-03,11964,10908,    1034,    1772,14447,    -397,1056,-738.0
118,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-09-26,10930,9136,   -1939,   -2136,14844,   -1826,1794,197.0
119,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-09-19,12869,11272,     976,    1611,16670,    1247,1597,-635.0
120,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-09-12,11893,9661,     -40,    -233,15423,     461,2232,193.0
121,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-09-05,11933,9894,   -1244,   -1776,14962,   -1210,2039,532.0
122,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-08-29,13177,11670,    -250,    -242,16172,   -1090,1507,-8.0
123,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-08-22,13427,11912,    1446,    -781,17262,    1830,1515,2227.0
124,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-08-15,11981,12693,   -1004,   -1441,15432,   -1311,-712,437.0
125,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-08-08,12985,14134,    1230,    1840,16743,    1883,-1149,-610.0
126,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-08-01,11755,12294,    -186,    -292,14860,   -1157,-539,106.0
127,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-07-25,11941,12586,      95,    -421,16017,     562,-645,516.0
128,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-07-18,11846,13007,    -476,   -1170,15455,    -847,-1161,694.0
129,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-07-11,12322,14177,    -532,    -753,16302,    -706,-1855,221.0
130,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-07-03,12854,14930,    -149,    -167,17008,   -1821,-2076,18.0
131,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-06-27,13003,15097,    1071,    3562,18829,    3142,-2094,-2491.0
132,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-06-20,11932,11535,    1846,    2192,15687,    2436,397,-346.0
133,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-06-13,10086,9343,     -20,       6,13251,     225,743,-26.0
134,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-06-06,10106,9337,    1066,     484,13026,    1311,769,582.0
