,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
135,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-05-30,9040,8853,   -1084,    -378,11715,   -1328,187,-706.0
136,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-05-23,10124,9231,      69,     187,13043,       0,893,-118.0
137,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-05-16,10055,9044,      28,    -560,13043,     -59,1011,588.0
138,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-05-09,10027,9604,     342,      87,13102,     581,423,255.0
139,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-05-02,9685,9517,     119,    -342,12521,   -1543,168,461.0
140,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-04-25,9566,9859,   -2063,   -2259,14064,   -1321,-293,196.0
141,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-04-18,11629,12118,    -587,   -1220,15385,    -592,-489,633.0
142,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-04-11,12216,13338,    1801,    2308,15977,    2597,-1122,-507.0
143,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-04-04,10415,11030,    -753,    -414,13380,   -1029,-615,-339.0
144,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-03-28,11168,11444,     317,     -28,14409,     360,-276,345.0
145,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-03-21,10851,11472,     267,     786,14049,     577,-621,-519.0
146,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-03-14,10584,10686,     477,     620,13472,     651,-102,-143.0
147,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-03-07,10107,10066,   -1814,   -2454,12821,   -2340,41,640.0
148,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-02-28,11921,12520,    -267,    -480,15161,   -1340,-599,213.0
149,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-02-21,12188,13000,     413,     442,16501,    1343,-812,-29.0
150,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-02-14,11775,12558,   -1395,   -1790,15158,   -1685,-783,395.0
151,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-02-07,13170,14348,    -429,   -1050,16843,    -699,-1178,621.0
152,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-01-31,13599,15398,     563,     925,17542,     152,-1799,-362.0
153,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-01-24,13036,14473,     580,    1390,17390,    1505,-1437,-810.0
154,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-01-17,12456,13083,     467,     500,15885,     994,-627,-33.0
155,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-01-10,11989,12583,     242,    1225,14891,     361,-594,-983.0
156,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2023-01-03,11747,11358,    -614,    -310,14530,   -1498,389,-304.0
157,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-12-27,12361,11668,    1093,     717,16028,    1465,693,376.0
158,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-12-20,11268,10951,     602,     245,14563,     574,317,357.0
159,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-12-13,10666,10706,   -1985,   -1878,13989,   -1780,-40,-107.0
160,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-12-06,12651,12584,   -1132,    -875,15769,   -1063,67,-257.0
161,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-11-29,13783,13459,    -448,     -66,16832,   -1522,324,-382.0
162,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-11-22,14231,13525,     135,       0,18354,     453,706,135.0
163,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-11-15,14096,13525,    2793,    2240,17901,    3462,571,553.0
164,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-11-08,11303,11285,    2336,    1866,14439,    2256,18,470.0
165,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-11-01,8967,9419,   -2117,   -1642,12183,   -2671,-452,-475.0
166,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-10-25,11084,11061,     374,     373,14854,     626,23,1.0
167,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-10-18,10710,10688,   -1994,   -1159,14228,   -1528,22,-835.0
168,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-10-11,12704,11847,    1223,     334,15756,    1526,857,889.0
169,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-10-04,11481,11513,    -421,     635,14230,     -41,-32,-1056.0
170,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-09-27,11902,10878,     745,     298,14271,     391,1024,447.0
171,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-09-20,11157,10580,     889,     438,13880,     791,577,451.0
172,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-09-13,10268,10142,   -2475,   -1279,13089,   -2248,126,-1196.0
173,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-09-06,12743,11421,     966,     940,15337,     897,1322,26.0
174,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-08-30,11777,10481,     999,     667,14440,    1138,1296,332.0
175,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-08-23,10778,9814,    1494,     437,13302,     879,964,1057.0
176,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-08-16,9284,9377,     -10,    -147,12423,     -87,-93,137.0
177,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-08-09,9294,9524,    -446,    -797,12510,    -339,-230,351.0
178,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-08-02,9740,10321,     -38,     422,12849,   -2108,-581,-460.0
179,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-07-26,9778,9899,   -1131,   -1516,14957,     445,-121,385.0
180,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-07-19,10909,11415,     584,     919,14512,    1007,-506,-335.0
181,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-07-12,10325,10496,    -317,     274,13505,     247,-171,-591.0
182,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-07-05,10642,10222,    -495,     170,13258,    -449,420,-665.0
183,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-28,11137,10052,     642,     603,13707,     170,1085,39.0
184,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-21,10495,9449,     499,     514,13537,    1295,1046,-15.0
185,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-14,9996,8935,    1037,     466,12242,    1252,1061,571.0
186,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-07,8959,8469,     279,     192,10990,      90,490,87.0
187,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-31,8680,8277,   -1043,    -597,10900,    -829,403,-446.0
188,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-24,9723,8874,     159,     116,11729,      85,849,43.0
