,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
1015,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-08-23,5842,3372,     615,     273,20169,     902,2470,342.0
1016,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-08-16,5227,3099,   -7888,     438,19267,   -7183,2128,-8326.0
1017,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-08-09,13115,2661,    1475,     256,26450,     718,10454,1219.0
1018,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-08-02,11640,2405,   -4704,     717,25732,   -2691,9235,-5421.0
1019,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-07-26,16344,1688,   -1131,     -53,28423,    -615,14656,-1078.0
1020,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-07-19,17475,1741,     529,     338,29038,     986,15734,191.0
1021,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-07-12,16946,1403,   -6499,   -1174,28052,   -5769,15543,-5325.0
1022,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-07-05,23445,2577,    1934,     376,33821,    2586,20868,1558.0
1023,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-06-28,21511,2201,    2591,     409,31235,    2051,19310,2182.0
1024,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-06-21,18920,1792,    -567,    -731,29184,     502,17128,164.0
1025,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-06-14,19487,2523,    1476,     560,28682,   -6973,16964,916.0
1026,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-06-07,18011,1963,     294,    -393,35655,    6357,16048,687.0
1027,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-05-31,17717,2356,     922,    -189,29298,    1246,15361,1111.0
1028,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-05-24,16795,2545,    1502,   -1046,28052,    1874,14250,2548.0
1029,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-05-17,15293,3591,    6514,   -1774,26178,    5271,11702,8288.0
1030,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-05-10,8779,5365,     358,     661,20907,    1323,3414,-303.0
1031,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-05-03,8421,4704,    1509,      33,19584,    2202,3717,1476.0
1032,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-04-26,6912,4671,    -195,     248,17382,     669,2241,-443.0
1033,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-04-19,7107,4423,     -88,    -726,16713,   -1031,2684,638.0
1034,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-04-12,7195,5149,    1268,    -221,17744,      -9,2046,1489.0
1035,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-04-05,5927,5370,     720,   -2647,17753,    -326,557,3367.0
1036,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-03-29,5207,8017,      46,   -4131,18079,   -1981,-2810,4177.0
1037,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-03-22,5161,12148,   -1752,   -7000,20060,   -5181,-6987,5248.0
1038,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-03-15,6913,19148,    -983,    2595,25241,   -5972,-12235,-3578.0
1039,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-03-08,7896,16553,     454,    2113,31213,    7776,-8657,-1659.0
1040,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-03-01,7442,14440,     415,    1616,23437,    1898,-6998,-1201.0
1041,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-02-22,7027,12824,     952,    6087,21539,    4540,-5797,-5135.0
1042,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-02-15,6075,6737,    -204,   -1095,16999,   -1659,-662,891.0
1043,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-02-08,6279,7832,     347,   -1994,18658,    -753,-1553,2341.0
1044,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-02-01,5932,9826,     956,    -146,19411,     449,-3894,1102.0
1045,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-01-25,4976,9972,     679,    -249,18962,    1536,-4996,928.0
1046,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-01-18,4297,10221,    -611,     143,17426,    -724,-5924,-754.0
1047,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-01-11,4908,10078,    -759,   -4454,18150,   -3939,-5170,3695.0
1048,U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE,2005-01-04,5667,14532,    -693,   -4747,22089,   -5281,-8865,4054.0
1049,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-12-28,6360,19279,     561,    1703,27370,    3325,-12919,-1142.0
1050,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-12-21,5799,17576,     445,   -1393,24045,    -766,-11777,1838.0
1051,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-12-14,5354,18969,    -350,   -2367,24811,   -4214,-13615,2017.0
1052,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-12-07,5704,21336,    -708,      62,29025,     -66,-15632,-770.0
1053,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-11-30,6412,21274,    1094,    2184,29091,    1511,-14862,-1090.0
1054,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-11-23,5318,19090,      38,    -433,27580,     -35,-13772,471.0
1055,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-11-16,5280,19523,   -2344,   -2762,27615,    -811,-14243,418.0
1056,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-11-09,7624,22285,    1465,    2901,28426,    2552,-14661,-1436.0
1057,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-11-02,6159,19384,     594,    2836,25874,    1095,-13225,-2242.0
1058,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,2004-10-26,5565,16548,     -73,     649,24779,      35,-10983,-722.0
